day_type,BONTEHEUWEL,JAKES GERWEL DRV,HANOVER PARK,BAMBOESVLEI RD,OTTERY,WYNBERG
MondaysToFridays,06:20,via,06:50,via,via,08:30
Saturdays,07:15,via,07:45,via,via,08:15
