day_type,CAPE TOWN,VOORTREKKER RD,MONTAGUE GARDENS,KILLARNEY,MELKBOS,KOEBERG POWER STN,ATLANTIS,MALMESBURY,MAMRE,DARLING
Fridays,15:15,via,,15:55,via,via,17:40,,via,17:50
Mondays_to_Thursdays,15:15,via,,15:55,via,via,17:40,,via,17:50
Fridays,17:00,,17:30,17:40,,,,,,18:40
Saturdays,,,,,,,06:50,,,07:25
Saturdays,,,,,,,,10:00,,10:55
Saturdays,,,,,,,,11:30,,12:15
Saturdays,,,,,,,,12:00,,13:00
Saturdays,,,,,,,,13:00,,14:00
