day_type,BLOUBERGSTRAND,MELKBOS,BLAAUWBERG RIDGE,SUNSET BEACH,DOLPHIN BEACH,BLAAUWBERG,BAYSIDE CENTRE,KILLARNEY,KILLARNEY GARDENS,MONTAGUE GARDENS,CENTURY CITY,DRIFTSANDS,VILLAGE 3,MAKHAZA,ENKANINI,HARARE,MONWABISI
Mondays_to_Thursdays,,,15:50,,,,,16:05,,via,,via,,,,18:00,
Mondays_to_Thursdays,,,16:15,,,,,16:35,,via,,,via,18:15,,,
Mondays_to_Thursdays,,,15:30,,,,,15:45,,via,,,,,,17:40,
Mondays_to_Thursdays,,,16:20,,,,,16:35,,via,,,,,,18:10,
Mondays_to_Thursdays,,,15:30,,via,,,15:45,,via,,,via,17:45,,,
Mondays_to_Thursdays,,,15:25,,,,,15:40,,via,,,,,,17:30,
Mondays_to_Thursdays,,,15:20,,,,,15:35,,via,,via,,,,17:15,
Mondays_to_Thursdays,,16:35,,via,via,,,,,via,,via,,,,18:45,
Mondays_to_Thursdays,,,16:25,,,,,16:45,,via,,,via,18:35,,,
Mondays_to_Thursdays,,,16:35,,,,,17:05,,via,,via,,,,18:45,
Mondays_to_Thursdays,,,14:45,,,,,15:00,,via,,,,,,16:45,
Mondays_to_Thursdays,,,15:20,,,,,15:40,,via,,,via,17:30,,,
Mondays_to_Thursdays,,,16:55,,,,,17:10,,via,,,via,18:30,,,
Mondays_to_Thursdays,,,16:45,,,,,17:05,,via,,,,,18:30,,
Mondays_to_Thursdays,,,17:00,,,,,17:20,,via,,,via,via,19:00,,
Mondays_to_Thursdays,,,15:00,,,,,15:20,,via,,,,17:00,,,
Mondays_to_Thursdays,,15:00,,via,,,,,,via,,,,16:45,,,
Mondays_to_Thursdays,,,,,,,,15:00,,via,,,via,16:20,,,
Mondays_to_Thursdays,,,16:45,,,,,17:00,,via,,via,,,,18:30,
PublicHolidays,,,,,16:50,,,17:00,,via,17:10,,18:20,,,18:05,
PublicHolidays,,,08:30,,,,,08:50,,via,,,,10:00,,,
PublicHolidays,,,,,,,,,,,,,,17:30,,,
PublicHolidays,,,,,,,,,,,,,,,,17:30,
PublicHolidays,,,16:00,,,,,16:20,,via,,,via,17:40,,,
PublicHolidays,,,,,15:30,,,15:40,,via,15:50,,17:40,,,16:45,
PublicHolidays,,,,,,14:30,,14:45,,via,,,16:00,16:20,,,
PublicHolidays,,,14:20,,,,,14:40,,via,,,via,16:15,,,
PublicHolidays,,,13:00,,,,,13:10,,via,,,14:30,,,via,
PublicHolidays,,,08:30,,,,,08:45,,via,,,,,,10:00,
PublicHolidays,,,17:05,,,,17:15,17:25,,via,,,via,18:40,,,
PublicHolidays,,,17:00,,,,,17:15,,via,,,,,,18:50,
Saturdays,,,,,,,,16:15,,via,,,,,,18:00,
Saturdays,07:10,,,,07:20,,,07:30,,via,,,08:50,,,08:40,
Saturdays,,,08:00,,,,,08:15,,via,,,09:30,10:00,,,
Saturdays,,,12:00,,,,via,12:30,,via,,,,,,14:00,
Saturdays,,,12:55,,,,,13:10,,via,,,,,,14:20,
Saturdays,13:00,,,,13:10,,,13:20,,via,13:30,,via,14:30,,,
Saturdays,14:00,,,,14:10,,,14:20,,via,14:30,,,,,15:30,
Saturdays,14:00,,,,14:10,,,14:20,,via,14:30,,via,16:00,,,
Saturdays,,,15:00,,,,via,15:30,,via,,,,16:25,,,
Saturdays,,,15:00,,,,,15:15,,via,,,,,,16:30,
Saturdays,,,16:00,,via,,,16:15,,via,16:25,,via,18:30,,,
Saturdays,,,14:30,,,,,14:45,,via,,,16:00,16:20,,,
Saturdays,,,,,,17:30,,17:45,,via,,,19:00,19:20,,,
Saturdays,17:00,,,,17:10,,,17:20,,via,,,18:45,,,18:30,
Saturdays,,,16:15,,via,,,16:30,,via,16:40,,via,18:20,,,
Saturdays,,,,,,,,16:15,,via,,,,17:35,,,
Sundays,,,,,,14:30,,14:45,,via,,,,15:45,,,
Sundays,,,17:20,,,,via,17:50,,via,,,,19:20,,,
Sundays,,,14:30,,,,,14:45,,via,,,,,,16:00,
Sundays,,,,,,,,13:15,,via,,,,,,15:00,
Sundays,,,,,,,,13:15,,via,,,,14:30,,,
Sundays,,,12:30,,,,,12:45,,via,,,,,,15:00,
Sundays,,,07:45,,,,,08:00,,via,,,,,,09:45,
Sundays,,,07:15,,,,,07:35,,via,,,,08:30,,,
Sundays,,,15:30,,,,,15:45,,via,,,,,,17:00,
Sundays,,,16:15,,,,,16:35,,via,16:45,,via,18:00,,,
