day_type,CAPE TOWN,MOWBRAY,LANGA N2 GATEWAY,BONTEHEUWEL TERM,AIRPORT IND 1,AIRPORT IND 2,AIRPORT IND 3
MondaysToFridays,,,06:30,06:45,,07:20,
MondaysToFridays,06:40,06:55,,,via,via,07:40
