day_type,WATERFRONT,SOMERSET HOSP,CAPE TOWN,TOLLGATE STOP,MOWBRAY,HANOVER PARK,COLORADO PARK,MERRYDALE AVE,BEACON VALLEY,TOWN CENTRE,MANDALAY,TAFELSIG,TAFELSIG LOST CITY
Sundays,21:30,,21:40,,21:50,,via,,22:30,,via,,via
Sundays,,19:10,19:25,,,,,,,,,,21:30
Sundays,,,19:00,,,,,,,,,,20:30
Sundays,,,18:10,,,,,via,,19:10,,,
Sundays,,,17:30,,,,,,,,,,18:10
Sundays,,,17:10,,,,,via,,18:30,,,
Sundays,,,16:20,,,,,,,,,,17:50
Sundays,,,16:10,,,,,via,,17:30,,,
Sundays,,,15:30,,15:55,16:25,,via,,16:30,,,
Sundays,,,13:00,,,,,via,,14:30,,,
Sundays,,,12:30,,13:00,13:20,,via,,14:00,,,
Sundays,,,12:00,,,,,,,,,,13:00
Sundays,,,10:15,,,,,,,,,,11:30
Sundays,,,09:30,,09:55,10:25,,via,,11:00,,,
Sundays,,,07:10,,,,,via,,08:00,,,
Sundays,,19:15,19:30,,19:50,20:30,,,,20:30,,,
Sundays,,,15:00,,,,,,,,,,16:20
