day_type,HANOVER PARK,JAKES GERWEL DRV,BOFORS CIRCLE,EPPING IND
MondaysToFridays,06:00,via,via,06:45
MondaysToFridays,06:30,via,via,07:50
MondaysToFridays,07:05,via,via,08:25
