day_type,MACASSAR,FIRGROVE,SOMERSET MALL,SOMERSET WEST,BEACH RD,STRAND,LWANDLE,TEMPERANCE TOWN
MondaysToFridays,06:20,,,,,,07:15,
MondaysToFridays,06:20,,,,via,07:00,,
MondaysToFridays,06:45,,,07:15,,,,
MondaysToFridays,,,,,,07:00,,07:15
MondaysToFridays,07:15,,,,via,07:45,,08:20
MondaysToFridays,07:40,via,07:55,,via,08:40,,
Fridays,,,,,,16:10,,16:40
