day_type,MOWBRAY,BELLVILLE
Mondays_to_Thursdays,05:55,06:45
Fridays,05:55,06:30
Mondays_to_Thursdays,06:45,08:00
Fridays,06:45,08:30
Mondays_to_Thursdays,07:30,08:20
Fridays,07:30,08:20
MondaysToFridays,15:30,16:15
Mondays_to_Thursdays,17:15,18:20
Fridays,17:15,18:15
