day_type,CAPE TOWN,N1 FREEWAY,PROTEA VALLEY,KENRIDGE,BELLVILLE
Mondays_to_Thursdays,16:40,via,via,17:35,17:40
Fridays,16:40,via,via,17:35,17:40
