day_type,DURBANVILLE,SCOTTSDENE,ESCOM (BRACKENFELL),BELLVILLE
Mondays_to_Thursdays,,,07:00,07:30
Fridays,,,07:00,07:30
Fridays,15:00,15:30,,
MondaysToFridays,16:00,17:00,,
Fridays,16:30,17:30,,
Mondays_to_Thursdays,16:30,18:00,,
Mondays_to_Thursdays,17:05,18:00,,
Fridays,17:05,17:40,,
Fridays,18:20,18:45,,
Mondays_to_Thursdays,18:20,18:45,,
Fridays,,18:45,,19:25
