day_type,LEAGUES,NEW WOODLANDS,MERRYDALE AVE,WESTGATE MALL,TOWN CENTRE
MondaysToFridays,,,,05:10,05:50
MondaysToFridays,,04:55,via,,05:15
MondaysToFridays,,,,05:10,05:25
MondaysToFridays,05:15,,,,06:00
MondaysToFridays,,,via,,06:00
MondaysToFridays,,,,05:50,06:25
MondaysToFridays,,,via,,05:50
MondaysToFridays,,05:40,via,,06:25
MondaysToFridays,,,,06:05,06:35
MondaysToFridays,,,via,,06:40
MondaysToFridays,,,,06:20,07:00
MondaysToFridays,,,via,,06:35
