day_type,PERDEKLOOF,SCALA RD,DIDO VALLEY RD,DA GAMA PARK,SIMONSTOWN,MURDOCH VALLEY
MondaysToFridays,06:10,via,via,via,,07:00
MondaysToFridays,,,,07:40,,08:30
MondaysToFridays,,,,14:40,14:50,
Mondays_to_Thursdays,,,,15:30,15:40,
