day_type,HANOVER PARK,BELGRAVIA RD,MOUNT VIEW,MOWBRAY,CAPE TOWN
MondaysToFridays,06:00,,via,06:35,07:45
MondaysToFridays,06:00,via,,,06:50
MondaysToFridays,06:20,via,,,07:20
