day_type,KARL BREMER HOSP,TYGERBERG STN,PAROW,TYGERBERG HOSP,PAROW IND,NYANGA TERM,PHILIPPI EAST SAP
MondaysToFridays,,06:20,,,via,via,07:10
MondaysToFridays,,15:10,,15:20,via,16:10,
MondaysToFridays,,17:10,,17:20,via,17:50,
Mondays_to_Thursdays,,15:50,15:30,16:00,,via,17:00
PublicHolidays,,07:20,,,via,08:00,
Saturdays,07:05,,,07:15,via,08:15,
Sundays,07:05,,,07:15,via,08:00,
