day_type,EINDHOVEN,VOORBRUG,LEIDEN,ROOSENDAL,BELHAR,BOFORS CIRCLE,EPPING IND
MondaysToFridays,05:40,,via,via,via,,07:00
Fridays,06:10,via,,,06:20,via,07:40
MondaysToFridays,06:00,,via,via,,via,07:20
