day_type,MONTAGUE GARDENS,KILLARNEY,ATLANTIS IND,SAXONSEA,ATLANTIS
Mondays_to_Thursdays,,14:25,via,,15:30
Wednesdays_to_Thursdays,17:00,17:10,,via,18:30
Mondays_to_Tuesdays,17:00,17:10,,via,18:30
