day_type,VILLAGE 3,MAKHAZA,HARARE,TOWN CENTRE,SAKK ARMY CAMP
MondaysToFridays,,,,07:40,07:05
Saturdays,,09:45,10:10,,
Sundays,10:45,,11:00,,
Sundays,,11:30,11:45,,
