day_type,BELHAR,THE HAGUE,ROOSENDAAL,TURFHALL RD,CLAREMONT
Fridays,06:20,06:30,,via,08:15
MondaysToFridays,,05:40,via,via,07:30
MondaysToFridays,,06:25,,via,08:00
MondaysToFridays,,06:40,via,,08:30
Mondays_to_Thursdays,06:20,06:30,,via,08:00
PublicHolidays,,06:40,via,,08:00
Saturdays,,06:40,via,,08:00
Saturdays,,09:20,via,,10:40
