day_type,RONDEBOSCH,WYNDOVER,CLAREMONT
MondaysToFridays,08:40,via,09:00
MondaysToFridays,14:30,via,15:00
Fridays,16:00,via,17:30
Mondays_to_Thursdays,16:35,via,17:00
