day_type,MAKHAZA,HARARE,VILLAGE 3,SITE C,MFULENI,BLACKHEATH,SAXENBURG IND,POLKADRAAI,KUILS RIVER TERM,MURDOCH VALLEY
MondaysToFridays,,,,,,,,,05:20,07:15
Fridays,06:10,05:50,,,,via,via,,07:10,
Mondays_to_Thursdays,06:10,05:50,,,,via,via,,07:10,
MondaysToFridays,06:30,06:10,,,,via,via,,07:45,
MondaysToFridays,,,via,06:20,,via,via,,07:15,
MondaysToFridays,06:45,06:35,,,07:10,via,via,,08:05,
Mondays_to_Thursdays,,,,,,,,,18:10,16:10
Saturdays,07:10,07:00,,,07:35,via,via,,08:00,
Saturdays,,,,,,,,12:10,11:30,
