day_type,BELLVILLE,CILMOR SHOPRITE,SCOTTSDENE,DURBANVILLE
MondaysToFridays,,,05:45,06:15
MondaysToFridays,05:50,,06:20,
Mondays_to_Thursdays,,,06:00,06:45
Fridays,,,06:00,06:20
MondaysToFridays,,,06:20,07:30
MondaysToFridays,06:30,07:00,,
MondaysToFridays,,,07:00,07:45
MondaysToFridays,,,07:10,08:00
Saturdays,,,07:10,08:00
