day_type,CAPE TOWN,SEA POINT
MondaysToFridays,06:15,06:45
MondaysToFridays,06:30,07:00
MondaysToFridays,06:45,07:15
MondaysToFridays,07:10,07:40
MondaysToFridays,07:20,08:00
MondaysToFridays,07:45,08:20
MondaysToFridays,08:00,08:30
Mondays_to_Thursdays,15:30,16:00
