day_type,MAITLAND SCHLS,VILLAGE 3,MAKHAZA,HARARE
Fridays,via,via,14:00,
Fridays,,,,14:30
Tuesdays_to_Thursdays,,,16:20,via
Tuesdays_to_Thursdays,via,via,16:20,
Tuesdays_to_Thursdays,,,,16:10
