day_type,BOYSTOWN,NYANGA TERM,PHILIPPI EAST SAP
Fridays,07:10,08:05,
Fridays,07:10,08:05,
Fridays,07:10,08:05,
MondaysToFridays,06:00,06:15,
MondaysToFridays,06:25,06:50,
PublicHolidays,,06:45,06:30
PublicHolidays,,07:15,07:00
PublicHolidays,,07:45,07:30
PublicHolidays,,08:15,08:00
Saturdays,06:00,06:15,
Saturdays,06:25,06:50,
Sundays,06:00,06:15,
Sundays,06:25,06:50,
