day_type,LANGA N2 GATEWAY,MONTAGUE GARDENS,KILLARNEY,BLAAUWBERG RIDGE
Fridays,06:30,via,07:10,08:00
Mondays_to_Thursdays,06:30,via,07:10,07:45
