day_type,ROCKLANDS,WESTRIDGE,TOWN CENTRE
MondaysToFridays,05:00,,05:40
MondaysToFridays,,05:05,05:35
MondaysToFridays,05:15,,05:40
MondaysToFridays,,05:20,05:50
MondaysToFridays,05:30,,06:00
MondaysToFridays,,05:35,06:10
MondaysToFridays,,05:50,06:00
MondaysToFridays,,05:55,06:10
MondaysToFridays,05:55,,06:30
MondaysToFridays,05:55,,06:20
MondaysToFridays,06:10,,06:40
MondaysToFridays,06:25,,06:50
MondaysToFridays,,06:40,07:20
MondaysToFridays,,07:10,07:40
