day_type,MANENBERG SAP,MANENBERG,HANOVER PARK,HEIDEVELD,MAITLAND,KOEBERG STN
MondaysToFridays,,05:35,,via,,06:25
MondaysToFridays,05:40,,06:00,,07:10,
Mondays_to_Thursdays,05:50,,06:00,,08:00,
Fridays,05:50,,06:00,,07:10,
MondaysToFridays,,06:00,,via,,07:50
