ID,NAME,xcoord,ycoord,address
82,Disa,18.4940000002231,-33.5736480000386,"Gardenia Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
83,Bottlebrush,18.4966719995108,-33.5775890002868,"Kerria Avenue, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
84,Berzelia,18.4924610006289,-33.5777290004741,"Kerria Avenue, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
85,Starke,18.4872200001484,-33.579994999693,"Charel Uys Drive, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
86,Charles Duminy,18.4846919993639,-33.5798920008572,"Christopher Starke Street, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7437, South Africa"
87,Tom Henshilwood,18.4829559988578,-33.5832769995641,"Neil Hare Road, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
88,John Van Niekerk,18.4782279992809,-33.5844479999354,"Neil Hare Road, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
89,Neil Hare,18.4744349996766,-33.5870829988851,"Charel Uys Drive, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7437, South Africa"
90,Charles Matthews,18.4814210005446,-33.5912979998202,"John van Niekerk Street, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7437, South Africa"
106,Pella North,18.5208419997305,-33.5359259996334,"Main Road, Pella, Cape Town Ward 29, City of Cape Town, Western Cape, 7349, South Africa"
107,Pella Central,18.5206810004562,-33.5388719999446,"Main Road, Pella, Cape Town Ward 29, City of Cape Town, Western Cape, 7349, South Africa"
108,Pella South,18.5196509987486,-33.5424220005925,"Pella Mor Primêre Skool, 3, Dassenberg Street, Pella, Cape Town Ward 29, City of Cape Town, Western Cape, 7348, South Africa"
123,Brutus,18.4912430005223,-33.5573000005928,"Anna Avenue, Cape Town Ward 29, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
124,Sherwood,18.4934580006538,-33.5554979998654,"Brutus Avenue, Cape Town Ward 29, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
126,Montezuma,18.500594999363,-33.5525909993263,"Newlands Avenue, Saxonsea, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
127,Newlands,18.4984749997376,-33.5511110005607,"Newlands Avenue, Saxonsea, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
132,Lagan,18.5020149992012,-33.5546700003532,"Jonkershoek Road, Saxonsea, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
133,Kolgha,18.5041529993925,-33.5540490000547,"Jonkershoek Road, Saxonsea, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
134,Reygersdal,18.4940510008902,-33.5667140000898,"Reygersdal Avenue, Wesfleur, Cape Town Ward 29, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
135,Flamingo Park,18.4967070005088,-33.5683059997902,"Reygersdal Avenue, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
