ID,NAME,xcoord,ycoord
1,Atlantis,18.491651000577,-33.5639050003842
2,Arion,18.4962009993589,-33.5590790000669
3,Charel Uys North,18.493862000137,-33.5556980004651
4,Montreal,18.4934880000225,-33.5521349993791
5,Tsitsikamma,18.4944239998651,-33.5474980001081
6,Silverstream,18.4826680004798,-33.5205069996256
7,PM Louw,18.477772999369,-33.5171260004898
8,Enon,18.4748429996598,-33.5131880001413
9,Goedverwacht,18.4710100000646,-33.5130619996001
10,Paradise,18.4664679994253,-33.512882999483
11,Crown,18.4639100004657,-33.5140250001812
23,Clearwater,18.4974589996385,-33.55426499992
24,Sampson,18.4974000003207,-33.5641069989651
25,Carmel,18.4998950002397,-33.562582999891
26,Caelian,18.5018470006163,-33.5595450000922
27,Harrow,18.5049920006141,-33.5575749998093
28,Malvern,18.5018630000251,-33.5553689996195
29,Deerlodge,18.4977919995189,-33.5513450000838
31,Frans,18.4808240002151,-33.5138870000444
32,Boat Bay,18.3867629996159,-33.9160199996574
33,Knysna,18.5016079996472,-33.5502520007733
34,Denne West,18.4740169997196,-33.5083969991448
43,Johannes,18.4786830001499,-33.5137730005289
46,Wesfleur Park,18.4882319994596,-33.5587939996839
47,Saxonsea Primary,18.4886039998457,-33.55505699994
48,Saxonsea Clinic,18.4884319986989,-33.5501819994531
49,Hermes,18.4861859993547,-33.5474900005244
50,Lisboa,18.4841389997194,-33.544660000155
53,Soxonsea Primary,18.4887400000398,-33.5554640006631
55,Kehrweider,18.487336999874,-33.5481630001824
56,Magnet,18.4905139996166,-33.5464349999102
57,Mauritius,18.4878390007344,-33.5441380001639
60,Fernande,18.48856899949,-33.5552570004061
61,Valleyfield,18.4836980007279,-33.5548870005185
62,Goede Hoop,18.4848940000572,-33.5509049999405
77,Parkview,18.488346999985,-33.5655769989953
78,Gothenburg,18.4832479999514,-33.5680760003848
79,Colebrook,18.4822190012221,-33.5707999994028
80,Bengal,18.4860429996676,-33.5714009992281
81,Alberto,18.4901719996833,-33.5719270002393
82,Disa,18.4940000002231,-33.5736480000386
83,Bottlebrush,18.4966719995108,-33.5775890002868
84,Berzelia,18.4924610006289,-33.5777290004741
85,Starke,18.4872200001484,-33.579994999693
86,Charles Duminy,18.4846919993639,-33.5798920008572
87,Tom Henshilwood,18.4829559988578,-33.5832769995641
88,John Van Niekerk,18.4782279992809,-33.5844479999354
89,Neil Hare,18.4744349996766,-33.5870829988851
90,Charles Matthews,18.4814210005446,-33.5912979998202
106,Pella North,18.5208419997305,-33.5359259996334
107,Pella Central,18.5206810004562,-33.5388719999446
108,Pella South,18.5196509987486,-33.5424220005925
123,Brutus,18.4912430005223,-33.5573000005928
124,Sherwood,18.4934580006538,-33.5554979998654
126,Montezuma,18.500594999363,-33.5525909993263
127,Newlands,18.4984749997376,-33.5511110005607
132,Lagan,18.5020149992012,-33.5546700003532
133,Kolgha,18.5041529993925,-33.5540490000547
134,Reygersdal,18.4940510008902,-33.5667140000898
135,Flamingo Park,18.4967070005088,-33.5683059997902
136,Malgas,18.4997120006022,-33.5708520000839
137,Jacana,18.5013830003366,-33.5701629999945
138,Patrys,18.5030559994912,-33.5708809999415
139,Swawel,18.5065599997263,-33.5687750004924
140,Tortelduif,18.5074989992865,-33.565076999956
141,Robinvale,18.5041820001018,-33.5659579994431
142,Curlew,18.4999959991988,-33.5658460008009
165,Insiswa,18.5046110006656,-33.5512799998464
187,Dahlia,18.489433000224,-33.5743419995723
188,Grosvenor,18.4905269999943,-33.5724959997814
189,Charel Uys,18.4924149992296,-33.5698050003829
195,Magnolia,18.4985380004053,-33.5714740003521
196,Starling,18.5011320009205,-33.5738510001228
198,Kerria Primary,18.4986480000893,-33.5770069999021
200,Begonia,18.4976689998508,-33.5806490008362
201,Aloe,18.5018099996838,-33.5804649995951
202,Acacia,18.5030339994721,-33.5795270006419
203,Azalea,18.5028519990497,-33.5758159994738
214,Cealian,18.5018470006163,-33.5595450000922
223,Charel Uys South,18.486192000983,-33.5833559996784
224,Gerwyn Owen,18.4813839998846,-33.5884020000624
225,Duynefontein,18.4562660006991,-33.6903770006158
226,Wanderlust,18.4560859990264,-33.7008790005923
227,Blaauwe Berg,18.4556569998072,-33.7255610001023
228,Melkbosstrand,18.4423399996427,-33.730857999922
229,Table View,18.4888339991628,-33.8247679996143
236,Omuramba,18.5124849994102,-33.8682210005325
237,Royal Ascot,18.5028199996686,-33.8630120000401
238,Racecourse,18.5003609996097,-33.8613909997272
239,Sunset Beach,18.4963030002782,-33.8532740001111
240,Porterfield,18.4885540000921,-33.8150589998875
241,Quebec,18.3837330006121,-33.9526039998737
242,Sandown,18.4842690001081,-33.8069110003287
243,Driftwood,18.4554299997052,-33.7414060003898
244,Birkenhead,18.4554600001642,-33.7358970003948
245,Brittlestar,18.4529180000535,-33.7345779996487
246,Atlantic Beach,18.4473369999113,-33.7322300003074
263,Ravensteyn,18.3849119995519,-33.9571750006426
264,Camps Bay,18.3788370002289,-33.9500120003367
267,Popham,18.4843600006461,-33.8235169998394
270,Lord Caledon,18.4743780005412,-33.5109940005259
272,Denne East,18.4788420002111,-33.5100649990207
301,Kuyasa,18.6926340001169,-34.0555760004407
351,Oscar Mpetha,18.6838430000732,-34.0563190000788
352,Ncumo West,18.6734660005086,-34.0534910003225
353,Kwezi,18.6686890004724,-34.0479389996136
354,Ngcingcu,18.6670310001838,-34.0449290004642
355,Makabeni,18.6605679991614,-34.0434979997296
356,Mfundisweni,18.6537760001325,-34.0394469993438
357,Pama West,18.6528249997932,-34.0312010000016
