stop_name,lat,lon
LENTEGEUR STATION,-34.0342958,18.6113098
LIME RD,-34.0292312,18.4916293
LINK AVENUE WAY,,
LONDON VILLAGE,-33.8254277,25.6401012
LOST CITY,-22.3708529,29.9923798
LOTUS RIVER,-34.0430556,18.5213889
LOURENS STREET,-25.4800707,30.9768181
LOURENSFORD,-34.0651735,18.8976673
LOWER CROSSROADS,-34.0113591,18.6094355
LOXTON ROAD,-33.8831355,18.4956956
LWANDLE,-34.1222222,18.8688889
MADALABOS,,
MAIN RD,-34.0715196,18.4577562
MAITLAND,-33.9225,18.4930556
MAKHAZA,-34.0497915,18.7101875
MALIBU,-33.9952778,18.6922222
MALMESBURY,-33.460278,18.723611
MAMRE,-33.512985,18.47542
MANDALAY,-34.0148578,18.6261607
MANENBERG,-33.9897222,18.5544444
MASIPHUMELELE,-34.129372,18.375791
MATROOSFONTEIN,-33.9405556,18.5777778
MEDI CITY,-26.0775515,28.0120646
MELKBOSSTRAND,-33.722222,18.445833
MELTON ROSE,-33.9895557,18.720553
MERRYDALE,-29.7696388,30.9575952
METRO,-33.8957279,18.4826617
MFULENI,-33.9922786,18.6769907
MILNERTON,-33.8794444,18.4963889
MITCHELLS PLAIN 3RD/7TH AVENUE,,
MODDERDAM ROAD,-33.9595408,18.558634
MONTAGUE VILLAGE,-27.9804528,26.7220703
MONTANA,-25.6769128,28.235305
MONTE VISTA,-33.8797222,18.555
MONTROSE PARK,-29.5750232,30.335925
MORNINGSTAR,-33.7221501,18.5140865
MOWBRAY,-33.9483333,18.4741667
MUIZENBERG,-34.0978389,18.4845708
MURDOCK VALLEY,,
MUSICA MACASSAR,-34.0624119,18.7664592
MUTUAL,-33.9222631,18.5130827
N1 CITY,,
NETREG,-33.9527518,18.5638983
NEW LENTEGEUR,-34.0266738,18.6089347
NEWFIELDS,-33.9851694,18.5332419
NOMZAMO,-34.1149201,18.8611267
NOORDHOEK,-34.102778,18.38
NORTHPINE,-33.8694444,18.7147222
NORTHWOOD,-33.8289914,18.6798447
NORWOOD,-33.9258333,18.5780556
NYANGA,-33.9869444,18.5847222
OCEAN VIEW,-34.1458812,18.352985
ORANJEZICHT,-33.9438889,18.415
OTTERY,-34.0131526,18.5091531
PAARDEN EILAND,-33.9140465,18.4711933
PANORAMA,-27.6716667,27.2477778
PARKLANDS,-33.8127817,18.4996855
PARKWOOD,-34.0333338,18.4955569
PAROW RAILWAY STATION,-33.909588,18.5862413
PAROW SANLAM CENTRE,,
PAROW STATION,-33.909588,18.5862413
PELLA,-29.031701,19.153028
PENTECH,-33.9347528,18.6460296
