ID,ORGN,DSTN
145,PARKWOOD,SOUTHFIELD
146,LANGA,ATHLONE
147,NYANGA,NYANGA STATION
148,CROSS ROADS,WYNBERG
149,KHAYELITSHA,ELSIES RIVER
150,THE HAGUE DELFT,ELSIES RIVER
151,KOEBERG STATION,MITCHELLS PLAIN
152,BONTEHEUWEL,SILVERTOWN
153,TABLE VIEW,KOEBERG STATION
154,MITCHELLS PLAIN,LONDON VILLAGE
155,UNIBELL,BELLVILLE STATION
156,RED CROSS HOSPITAL,ELSIES RIVER
157,NYANGA,SEA POINT
158,WALLACEDENE,BELLVILLE
159,BRACKENFELL,BLOEKOMBOS (VIA WALLACEDENE)
160,BELLVILLE,EVERSDAL
161,EIKENFONTEIN,WALLACEDENE
162,MACASSAR,SOMERSET WEST (VIA MADALABOS)
163,MACASSAR,SOMERSET WEST (VIA ZANDVLIET RD)
164,MACASSAR,SOMERSET WEST (VIA DE BEERS)
165,MACASSAR,FIRGROVE (VIA R102)
166,MACASSAR,SOMERSET WEST (VIA FIRGROVE)
167,MACASSAR,SOMERSET WEST (VIA R102)
168,MACASSAR,SOMERSET WEST
169,MACASSAR,BLACKHEATH
170,MACASSAR,EERSTE RIVER
171,FIRGROVE,SOMERSET WEST (VIA
172,FIRGROVE,MACASSAR
173,FIRGROVE,EERSTE RIVER
174,HANOVER PARK,LANSDOWNE
175,MACASSAR,SOMERSET WEST (VIA STEYNSRUS)
176,V & A WATERFRONT, CAPE TOWN CAPTOUR
177,V & A WATERFRONT,CAPE TOWN INTERSITE
178,V & A WATERFRONT,CAPE TOWN OLD MARINE RD
179,V & A WATERFRONT,CABLE WAY STATION
180,V & A WATERFRONT,CAPE TOWN INTERNATIONAL AIRPORT
181,ATLANTIS,DUINEFONTEIN MELKBOS STRAND
182,ATLANTIS,DARLING
183,ATLANTIS,FABRIEKS AREA ATLANTIS
184,ATLANTIS,SAXON SEA ATLANTIS
185,ATLANTIS,MALMESBURY
186,MAMRE,FABRIEKS AREA ATLANTIS
187,MAMRE,FABRIEKS AREA ATLANTIS (VIA ATLANTIS)
188,MAMRE,DARLING
189,MAMRE,CAPE TOWN (VIA KILLARNEY)
190,CAPE TOWN,HEIDEVELD
191,HEIDEVELD,MOWBRAY
192,CAPE TOWN,CAMPS BAY (VIA HIGH LEVEL RD)
193,CAPE TOWN,CAMPS BAY (VIA MAIN RD)
194,CAPE TOWN,CAMPS BAY (VIA KLOOF RD)
195,CAPE TOWN,CAMPS BAY (VIA WESTERN BLVD)
196,RETREAT,GRASSY PARK
197,RETREAT,RETREAT
198,GRASSY PARK,WYNBERG
199,MANENBERG,CLAREMONT
200,MANENBERG,MOWBRAY
201,MANENBERG,CAPE TOWN
202,HOUT BAY,WYNBERG
203,CAPE TOWN,GARDENS
204,CAPE TOWN,ORANJEZICHT
205,CAPE TOWN,CABLE WAY STATION
206,GRASSY PARK,HANOVER PARK
207,KHAYELITSHA,SEA POINT
208,KHAYELITSHA,SEA POINT
209,KHAYELITSHA,SEA POINT
210,MITCHELLS PLAIN,WYNBERG
211,TYGERBERG HOSPITAL,ELSIES RIVER
212,TYGERBERG HOSPITAL,PAROW
213,TYGERBERG HOSPITAL,TYGERBERG RAILWAY STATION
214,TYGERBERG HOSPITAL,BELLVILLE
215,TYGERBERG HOSPITAL,ELSIES RIVER
216,TYGERBERG HOSPITAL,DELFT
217,CAPE TOWN,WYNBERG (VIA M3)
218,BELHAR,BELLVILLE
219,GRASSY PARK,MITCHELLS PLAIN
220,HAZELDENE,ROCKLANDS
221,HAZELDENE,WESTRIDGE
222,HAZELDENE,WESTGATE MALL
223,HAZELDENE,WESTGATE MALL (VIA SILVERSANDS)
224,HAZELDENE,WESTGATE MALL (VIA KAPTEINSKLIP)
225,HAZELDENE,WESTGATE PALMS
226,HAZELDENE,N1 CITY
227,RETREAT,RETREAT STATION
228,BELLVILLE,CAPE TOWN (VIA N1 CITY)
229,STEENBERG,WESTLAKE
230,STEENBERG,TOKAI
231,MITCHELLS PLAIN,CAPE TOWN
232,MITCHELLS PLAIN,CAPE TOWN
233,MITCHELLS PLAIN,CAPE TOWN
234,MITCHELLS PLAIN,CAPE TOWN
235,MITCHELLS PLAIN,LOST CITY
236,MITCHELLS PLAIN,LOST CITY
237,MITCHELLS PLAIN,TAFELSIG
238,MITCHELLS PLAIN,TAFELSIG
239,GROOTTE SCHUUR HOSPITAL,CAPE TOWN
240,GROOTTE SCHUUR HOSPITAL,WYNBERG
241,GROOTTE SCHUUR HOSPITAL,MITCHELLS PLAIN
242,ATLANTIS,MELKBOS STRAND
243,ATLANTIS,FABRIEKS AREA ATLANTIS
244,ATLANTIS,FABRIEKS AREA ATLANTIS
245,ATLANTIS,WESFLEUR
246,SOMERSET WEST,LOURENSFORD(SOMERSET WEST)
247,SOMERSET WEST,DRAMA STREET(SOMERSET WEST)
248,SOMERSET WEST,UPPER MOUNTAIN STREET(SOMERSET WEST)
249,SOMERSET WEST,RUE MOUNT PELLAR(SOMERSET WEST)
250,SOMERSET WEST,KRAMAT WAY(MACASSAR)
251,SOMERSET WEST,LINK AVENUE WAY(MACASSAR)
252,SOMERSET WEST,STRAND
253,SOMERSET WEST,SIR LOWRYS PASS TOWN
254,SOMERSET WEST,RIVERTON STREET(SOMERSET WEST)
255,SOMERSET WEST,DIAZ STREET(SOMERSET WEST)
256,SOMERSET WEST,LOURENS STREET(SOMERSET WEST)
257,SOMERSET WEST,RAILWAY STATION(SOMERSET WEST)
258,SOMERSET WEST,VICTORIA PARK
259,SOMERSET WEST,ADVANCED MEDICAL TECHNOLOGY(SOMERSET WEST)
260,SOMERSET WEST,SIR LOWRYS PASS TOWN
261,HANOVER PARK,CAPE TOWN
262,GRASSY PARK,RETREAT
263,WYNBERG,RETREAT
264,MITCHELLS PLAIN (CALYPSO SQUARE),BEACON VALLEY
265,CAPE TOWN,VREDEHOEK
266,CAPE TOWN,WALMER ESTATE
267,STRAND,CASSA BLANCA (STRAND)
268,STRAND,CASSA BLANCA (STRAND)
269,STRAND,SOMERSET WEST
270,STRAND,TEMPERANCE TOWN (GORDONS BAY)
271,STRAND,MACASSAR
272,STRAND,SIR LOWRYS PASS TOWN
273,STRAND,SOMERSET WEST MALL
274,KILLARNEY,MAITLAND
275,N1 CITY,VASCO
276,DURBANVILLE,WALLACEDENE
277,VASCO,BOTHASIG
278,VASCO,MONTAGUE GARDENS
279,VASCO,BOTHASIG
280,VASCO,PAROW (PLATTEKLOOF ROAD)
281,MALIBU,BLACKHEATH
282,NORTHPINE,BRACKENFELL STATION
283,NORTHPINE,BRACKENFELL (HYPERMARKET)
284,NORTHPINE,BELLVILLE
285,NORTHPINE,WALLACEDENE
286,BELLVILLE,EVERSDAL
287,MOWBRAY,WYNBERG
288,MOWBRAY,WYNBERG
289,MOWBRAY,CAPE TOWN
290,DURBANVILLE,BELLVILLE
291,DURBANVILLE,DURBANVILLE(ZAND DAM PLAAS)
292,CLAREMONT,HANOVER PARK
293,CLAREMONT,HANOVER PARK
294,CLAREMONT,HANOVER PARK
295,BISHOP LAVIS,ELSIES RIVER
296,ELSIES RIVER,BOTHASIG
297,BELLVILLE,DELFT
