ID,ORGN,DSTN
631,BRIDGETOWN,CAPE TOWN
632,BRIDGETOWN,CAPE TOWN
633,BRIDGETOWN,CAPE TOWN
634,BRIDGETOWN,CAPE TOWN
635,BRIDGETOWN,GATESVILLE
636,BRIDGETOWN,GATESVILLE
637,SILVERTOWN,MOWBRAY
638,SILVERTOWN,MOWBRAY
639,BRIDGETOWN,MOWBRAY
640,SILVERTOWN,MOWBRAY
641,BRIDGETOWN,MOWBRAY
642,BRIDGETOWN,MOWBRAY
643,BRIDGETOWN,ATHLONE
644,KHAYELITSHA,MITCHELLS PLAIN
645,RETREAT,HANOVER PARK
646,GOODWOOD,N1 CITY
647,LANGA,KILLARNEY
648,WESBANK,KUILSRIVER
649,PENTECH RAILWAY STATION,BELHAR
650,ORANJEZICHT,CAPE TOWN
651,GUGULETU,CAPE TOWN
652,MONTAGUE GARDENS,KOEBERG RAILWAY STATIONS
653,DURBANVILLE,TYGERVALLEY CENTRE
654,DURBANVILLE,"KLIPHEUWEL RD,DURBANVILLE"
655,DURBANVILLE,BLOEKOMBOS
656,KHAYELITSHA,SEA POINT
657,KHAYELITSHA,MOWBRAY
658,KHAYELITSHA,WOODSTOCK
659,"HAPPY VALLEY ,BLACKHEATH",KUILSRIVER
660,NYANGA,BOTHASIG
661,CAPE TOWN,SEA POINT
662,HEIDEVELD,CAPE TOWN
663,HEIDEVELD,CAPE TOWN
664,BLUE DOWNS,MITCHELLS PLAIN
665,LANGA,NYANGA
666,MATROOSFONTEIN,ELSIES RIVER
667,MATROOSFONTEIN,EPPING 2
668,LANGA,HARARE
669,LANGA,MAKHAZA
670,SEA POINT,LANGA
671,KHAYELITSHA,ELSIES RIVER
672,KHAYELITSHA,PAROW RAILWAY STATION
673,KHAYELITSHA,TYGERBERG RAILWAY STATION
674,TYGERBERG RAILWAY STATION,KHAYELITSHA
675,MASIPHUMELELE,FISH HOEK
676,MALIBU,BLACKHEATH
677,MALIBU,BELLVILLE
678,MALIBU,EERSTE RIVER
679,BELLVILLE,GROOTTE SCHUUR HOSPITAL
680,BRENTWOOD PARK,KUILSRIVER
681,BRENTWOOD PARK,BELLVILLE
682,DELFT SOUTH,CAPE TOWN
683,UNIBELL,DELFT SOUTH
684,SAMORA MACHEL,CAPE TOWN
685,NORWOOD,ELSIES RIVER
686,KHAYELITSHA (KUWAIT),MITCHELLS PLAIN
687,KHAYELITSHA (KUWAIT),MITCHELLS PLAIN
688,KHAYELITSHA (SITE B),MITCHELLS PLAIN
689,KHAYELITSHA (MAKHAZA),MITCHELLS PLAIN
690,KHAYELITSHA (TOWN 2),MITCHELLS PLAIN
691,KHAYELITSHA (LUZUKO RANK),MITCHELLS PLAIN
692,KHAYELITSHA (HARARE),MITCHELLS PLAIN
693,KHAYELITSHA (MAKAYA),MITCHELLS PLAIN
694,LANGA,CAPE TOWN
695,OCEAN VIEW,KOMMETJIE
696,KHAYELITSHA,TABLE VIEW
697,KUWAIT,HARARE
698,KUWAIT,MAKHAZA
699,KUWAIT,MAKHAZA
700,KRAAIFONTEIN,WALLACEDENE
701,KRAAIFONTEIN,BLOEKOMBOS
702,KRAAIFONTEIN,DE NOVA
703,WALLACEDENE,DURBANVILLE
704,OCEAN VIEW,MURDOCK VALLEY
705,OCEAN VIEW,NOORDHOEK
706,DELFT SOUTH,PAROW
707,DELFT SOUTH,PAROW
708,PENTECH STATION,DELFT SOUTH
709,UNIBELL,ELSIES RIVER
710,KHAYELITSHA,DELFT
711,KHAYELITSHA,WESBANK
712,HEIDEVELD,CAPE TOWN
713,MUTUAL RAILWAY STATION,LANGA
714,BLOEKOMBOS,BELLVILLE
715,WALLACEDENE,BELLVILLE
716,LANGA,GUGULETU
717,KHAYELITSHA,NYANGA
718,KHAYELITSHA,LANGA
719,KHAYELITSHA,LANGA
720,DU NOON,BOTHASIG
721,DU NOON,MAITLAND RAILWAY STATION
722,WESBANK,BELLVILLE
723,BELLVILLE,DURBANVILLE
724,EERSTE RIVER,FOREST HEIGHTS
725,DELFT SOUTH,MITCHELLS PLAIN
726,NYANGA,CAPE TOWN
727,BELLVILLE,ATLANTIS
728,LWANDLE,LOURENSFORD FARM
729,WYNBERG,CROSS RAODS
730,CAPE TOWN,SALT RIVER
731,NYANGA,WYNBERG (VIA CLAREMONT)
732,CROSS ROADS,WYNBERG (VIA CLAREMONT)
733,GUGULETU,CLAREMONT (VIA WYNBERG)
734,CROSS ROADS,CLAREMONT (VIA WYNBERG)
735,KHAYELITSHA,FISANTEKRAAL
736,LWANDLE,SOMERSET WEST (VIA MEDI CITY)
737,BELHAR,BELLVILLE
738,BELLVILLE,MITCHELLS PLAIN
739,EINDHOVEN,MITCHELLS PLAIN
740,VASCO,BOTHASIG
741,VASCO,BOTHASIG
742,MITCHELLS PLAIN,WYNBERG
743,MITCHELLS PLAIN,WYNBERG
744,EERSTE RIVER,BELLVILLE
745,TYGERBERG RAILWAY STATION,TYGERBERG HOSPITAL
746,TYGERBERG RAILWAY STATION,RAVENSMEAD
747,TYGERBERG RAILWAY STATION,RAVENSMEAD
748,WESBANK,EERSTE RIVER
749,DURBANVILLE,VISSERSHOK FARM
750,TYGERBERG HOSPITAL,DELFT SOUTH
751,KALKFONTEIN,BELLVILLE
752,BLOEKOMBOS,KRAAIFONTEIN STATION
753,BLOEKOMBOS,DURBANVILLE
754,KRAAIFONTEIN,JOOSTENBERG VLAKTE
755,SANLAM CENTRE PAROW,DELFT
756,EERSTE RIVER,MITCHELLS PLAIN
757,EERSTE RIVER,MITCHELLS PLAIN
758,EERSTE RIVER,MITCHELLS PLAIN
759,MELTON ROSE,EERSTE RIVER
760,SAMORA MACHEL,SEA POINT
761,KHAYELITSHA,WYNBERG (VIA CLAREMONT)
762,KHAYELITSHA,CLAREMONT (VIA WYNBERG)
763,BELLVILLE,WESBANK
764,UNIBELL,BELLVILLE
765,GUGULETU,BELLVILLE
766,LANGA,WYNBERG
767,LANGA,MOWBRAY (VIA WYNBERG)
768,SAMORA MACHEL,SEA POINT
769,NYANGA,CLAREMONT (VIA WYNBERG)
770,KOEBERG STATION,TABLE VIEW
771,LANGA,BELLVILLE
772,KHAYELITSHA,MAITLAND
773,TYGERBERG STATION,RAVENSMEAD
774,TYGERBERG STATION,RAVENSMEAD
775,KOEBERG STATION,TABLE VIEW
776,SIR LOWRYS PASS,SOMERSET WEST
777,KHAYELITSHA,MAITLAND
778,BLOEKOMBOS,KRAAIFONTEIN (SHOPRITE)
779,GOODWOOD STATION,TABLE VIEW
780,GOODWOOD STATION,MONTAGUE GARDENS
781,SEA POINT,NYANGA
782,KRAAIFONTEIN,WALLACEDENE
783,KRAAIFONTEIN,BRACKENFELL STATION
784,KRAAIFONTEIN,BOTFONTEIN - BOTLARY FARMS
785,KRAAIFONTEIN,DE NOVA
786,KRAAIFONTEIN,BELLVILLE
787,KRAAIFONTEIN,DURBANVILLE
788,KRAAIFONTEIN,GOLIATH ESTATE
789,PENTECH,PAROW
790,RATANGA JUNCTION,MAITLAND RAILWAY STATION
791,UNIBELL RAILWAY STATION,PAROW RAILWAY STATION
792,WESBANK,ELSIES RIVER STATION
793,STEENBERG,HILLVIEW
794,STEENBERG,"CAPRICORN,RETREAT"
795,STEENBERG,"SEAWINDS,RETREAT"
796,STEENBERG,"7TH & 11TH AVE,RETREAT"
797,STEENBERG,"BLUE ROUTE,TOKAI"
798,STEENBERG,MUIZENBERG
799,STEENBERG,GRASSY PARK
800,MITCHELLS PLAIN(TOWN CENTRE),MUIZENBERG
801,RETREAT,LAVENDER HILL
802,RETREAT,MONTAGUE VILLAGE
803,RETREAT,STEENBERG(HILLVIEW)
804,RETREAT,VRYGROND - STEENBERG
805,RETREAT,WESTLAKE - RETREAT
806,RETREAT,WESTLAKE M3 - RETREAT
807,RETREAT,WESTLAKE - TOKAI
808,RETREAT,STEENBERG
809,RETREAT,RETREAT
810,RETREAT,WYNBERG
811,RETREAT,CONSTANTIA - WYNBERG
812,RETREAT,CONSTANTIA - WYNBERG
813,RETREAT,MUIZENBERG-FISH HOEK
814,RETREAT,FISH HOEK
815,DELFT SOUTH,ELSIES RIVER
816,EINDHOVEN,BELLVILLE
817,WYNBERG,CONSTANTIA (SWEET VALLEY)
818,PAROW,DELFT
819,"SANLAM CENTRE,PAROW",DELFT
820,"SANLAM CENTRE,PAROW",DELFT
821,"TOWN CENTRE,MITCHELLS PLAIN",BELLVILLE
822,MUTUAL,LANGA (BHUNGA)
823,SEA POINT,EYONA
824,SEA POINT,EYONA
825,KHAYELITSHA,GOODWOOD-MAITLAND-KILLARNEY
826,MOWBRAY,NYANGA
827,7TH AVENUE MITCHELLS PLAIN,BELLVILLE RAILWAY STATION
828,DU NOON,MONTAGUE GARDENS
829,DU NOON,JOE SLOVO PARK
830,RATANGA JUNCTION,GOODWOOD
831,RATANGA JUNCTION,GOODWOOD
832,STRAND,RUSTHOF
833,STRAND,RUSTHOF
834,STRAND,LOURENSFORD & VERGELEGEN
835,STRAND,HOTTENTOTS HOLLAND HOSPITAL
836,NYANGA,MITCHELLS PLAIN
837,NYANGA,SAMORA MACHEL
838,NYANGA,PHILIPPI
839,NYANGA JUNCTION,PHILIPPI
840,NYANGA,HEIDEVELD STATION
841,NYANGA,NYANGA JUNCTION
842,PHILIPPI,NYANGA TERMINUS
843,PHILIPPI,MITCHELLS PLAIN
844,PHILIPPI,CROSS ROADS
845,PHILIPPI,HEIDEVELD
846,PHILIPPI,NYANGA JUNCTION
847,PHILIPPI,SAMORA MACHEL
848,NYANGA JUNCTION,NYANGA
849,NYANGA JUNCTION,PHILIPPI
850,NYANGA JUNCTION,SAMORA MACHEL
851,NYANGA JUNCTION,CROSS ROADS
852,NYANGA JUNCTION,HEIDEVELD STATION
853,NYANGA JUNCTION,TAMBO VILLAGE
854,RETREAT,RETREAT STATION
855,NYANGA,GUGULETU
856,NYANGA,PHILIPPI - LOWER CROSS ROADS
857,GUGULETU,NYANGA
858,GUGULETU,PHILIPPI - LOWER CROSS ROADS
859,PHILIPPI,GUGULETU
860,PHILIPPI,NYANGA
861,PHILIPPI,LOWER CROSS ROADS
862,LOWER CROSS ROADS,NYANGA
863,LOWER CROSS ROADS,GUGULETU
864,LOWER CROSS ROADS,PHILIPPI
865,KHAYELITSHA,MFULENI
866,NYANGA,WYNBERG
867,NYANGA,WYNBERG (VIA GUGULETU VIA CLAREMONT)
868,NYANGA,WYNBERG (VIA GUGULETU VIA CLAREMONT)
869,NYANGA,WYNBERG (VIA LOWER CROSS ROADS VIA PHILIPPI)
870,NYANGA,CLAREMONT (VIA GUGULETU)
871,NYANGA,CLAREMONT (GUGULETU)
872,NYANGA,CLAREMONT (VIA PHILIPPI)
873,NYANGA,CLAREMONT (VIA CROSS ROADS)
874,NYANGA,WYNBERG (VIA GUGULETU)
875,NYANGA,WYNBERG (VIA PHILIPPI)
876,NYANGA,WYNBERG (VIA CROSS ROADS)
877,KHAYELITSHA,EERSTE RIVER
878,KHAYELITSHA,BLACKHEATH
879,KHAYELITSHA,KUILSRIVER
880,KHAYELITSHA,LWANDLE
881,NYANGA TERM,MITCHELLS PLAIN
882,NYANGA,MITCHELLS PLAIN (VIA LOWER CROSS ROADS)
883,NYANGA TERM,SAMORA MACHEL
884,YSTERPLAAT,MAITLAND
885,YSTERPLAAT,PARKLANDS
886,YSTERPLAAT,MONTAGUE GARDENS
887,YSTERPLAAT,METRO INDUSTRY(PAARDEN EILAND)
888,YSTERPLAAT,KILLARNEY
889,KHAYELITSHA,FISH HOEK
890,CROOS ROADS(JO-BURG STORES),CLAREMONT
891,FISH HOEK,RETREAT
892,LANGA,WYNBERG
893,WYNBERG,NYANGA
894,LANGA,NYANGA
895,SAMORA MACHEL,CLAREMONT
896,SAMORA MACHEL,CLAREMONT (VIA WYNBERG)
897,ATLANTIS(WESFLEUR),FARMS(ATLANTIS)
898,BELLVILLE,FISANTEKRAAL
899,BELLVILLE,CENTURY CITY (VIA N1)
900,BELLVILLE,CENTURY CITY (VIA VOORTREKKER RD)
901,SAXON WORLD,BELLVILLE
902,SAXON WORLD,LANGA STATION
903,RETREAT,RETREAT STATION
904,DU NOON,CAPE TOWN
905,DU NOON,SUMMER GREENS
906,DU NOON,PARKLANDS
907,LANGA,DELFT
908,LEIDEN DELFT,ELSIES RIVER
909,LOWER CROSS ROADS,CAPE TOWN
910,CLAREMONT,LANGA
911,CLAREMONT,NYANGA
912,CLAREMONT,NYANGA
913,MASIPHUMELELE,SIMONS TOWN
914,WESBANK,BELLVILLE
915,CAPE TOWN,BELLVILLE
916,CROSS ROADS (JO-BURG STORES),WYNBERG
917,CROSS ROADS (JO-BURG STORES),WYNBERG (VIA CLAREMONT)
918,CROSS ROADS (JO-BURG STORES),CLAREMONT(VIA WYNBERG)
919,EYONA,CAPE TOWN
920,GUGULETU,KHAYELITSHA
921,GUGULETU,LANGA
922,BELLVILLE,LOWER CROSS ROADS
923,KHAYELITSHA,MONTE VISTA
924,KHAYELITSHA,DE LA REY
925,KHAYELITSHA,GOODWOOD
926,KALKFONTEIN,KUILSRIVER
927,CAPE TOWN,GARDENS
928,CAPE TOWN,ORANJEZICHT
929,CAPE TOWN,CABLE WAY STATION
930,HAPPY VALLEY,BELLVILLE
931,MFULENI,KUILSRIVER
932,WYNBERG,CENTURY CITY
933,WYNBERG,CENTURY CITY
934,WYNBERG,CENTURY CITY
935,WYNBERG,CENTURY CITY
936,PAROW,DELFT
937,MUIZENBERG,MITCHELLS PLAIN
938,MITCHELLS PLAIN,CENTURY CITY
939,MITCHELLS PLAIN,CENTURY CITY
940,MITCHELLS PLAIN,CENTURY CITY
941,BELLVILLE,DU NOON
942,DELFT,WYNBERG
943,MASIPHUMELELE,NOORDHOEK
944,DELFT,WYNBERG (VIA CLAREMONT)
945,LANGA,MOWBRAY
946,NYANGA,GOODWOOD
947,CAPE TOWN,RUYTERWACHT (VIA GARDEN VILLAGE)
948,WYNBERG,BISHOPS COURT
949,"LEIDEN,DELFT",BELLVILLE
950,KHAYELITSHA,CENTURY CITY
951,CAPE TOWN (STATION DECK),FRANKDALE
952,CAPE TOWN (STATION DECK),SANDRIFT - MONTAGUE GARDENS
953,CAPE TOWN (STATION DECK),TABLE VIEW
954,MOWBRAY,CENTURY CITY
955,GUGULETU,MOWBRAY
956,LEIDEN,ELSIES RIVER
957,DELFT,WYNBERG
958,LOWER CROSS ROADS,WYNBERG
959,PHILIPPI,WYNBERG
960,DELFT,WYNBERG AND RETURN
961,LOWER CROSSROADS,WYNBERG (VIA CLAREMONT)
962,NYANGA TAXI RANK,DELFT
963,SAMORA MACHEL,WYNBERG
964,LEIDEN,BELLVILLE
965,KHAYELITSHA,MACASSAR
966,WYNBERG,LANGA
967,MASIPHUMELELE,KOMMETJIE
968,YSTERPLAAT,MITCHELLS PLAIN
969,KALKFONTEIN,KUILSRIVER
970,SURBURBAN BLISS,ATHLONE
971,SURBURBAN BLISS,MOWBRAY
972,SURBURBAN BLISS,CAPE TOWN
973,SURBURBAN BLISS,CAPE TOWN
974,SURBURBAN BLISS,SEA POINT
975,SURBURBAN BLISS,ELSIES RIVER
976,SURBURBAN BLISS,PAROW
977,CROSS ROADS(JO-BURG STORES),CLAREMONT
978,MOWBRAY,CAPE TOWN
979,MOWBRAY,CENTURY CITY
980,WESBANK,PAROW STATION
981,MUTUAL RAILWAY STATION,BELLVILLE
982,MUTUAL RAILWAY STATION,LANGA
983,LWANDLE,SOMERSET WEST (VIA DENNEGEUR)
984,LWANDLE,HELDERVUE (SOMERSET WEST)
985,LWANDLE,SANDVLEI
986,LWANDLE,SOMERSET WEST(VIA NOMZAMO)
987,WALLACEDENE,BLOEKOMBOS
988,LWANDLE,GORDONS BAY
989,KHAYELITSHA,WYNBERG
990,NORTHPINE,WALLACEDENE
991,DU NOON,CAPE TOWN (VIA VOORTREKKER ROAD)
992,DELFT SOUTH,EPPING (VIA MODDERDAM ROAD)
993,DELFT SOUTH,EPPING (VIA 35TH STREET & OWEN ROAD)
994,HANOVER PARK,CAPE TOWN (VIA KROMBOOM PARKWAY)
995,HANOVER PARK,CAPE TOWN (VIA FREEWAY)
996,HANOVER PARK,CAPE TOWN
997,CAPE TOWN,SUMMER GREENS (VIA PHOENIX VILLAGE & JOE SLOVO)
998,CAPE TOWN,SUMMER GREENS
999,CAPE TOWN,CAMBRIDGE (VIA BROOKLYN & RUGBY)
1000,MFULENI,SOMERSET WEST
1001,MFULENI,STELLENBOSCH
1002,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,MUIZENBERG
1003,RETREAT,"ATHLONE (VIA KLIP RD, PLANTATION, WETTON, LANSDOWNE & JAN SMUTS DR)"
1004,RETREAT,ATHLONE (VIA M5 & KLIPFONTEIN RD)
1005,MUTUAL STATION,"MUTUAL RAILWAY STATION (VIA PINELANDS, FOREST DR & RINGWOOD DR)"
1006,VOORBRUG DELFT,"MITCHELLS PLAIN (VIA LEIDEN, HINDLE, R300 & AZ BERMAN DR)"
1007,TOWN CENTRE MITCHELLS PLAIN,JOHANNES MEINTJIES LENTEGEUR
1008,VOORBRUG DELFT,"MITCHELLS PLAIN (VIA LEIDEN, HINDLE, R300 & AZ BERMAN DR)"
1009,SAMORA MACHEL,CLAREMONT
1010,NYANGA,TAMBO VILLAGE
1011,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MOWBRAY)
1012,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, LIESBEECK PRKWY, STATION RD, MAIN RD)"
1013,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, EASTERN BLVD)"
1014,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA BORCHERDS QUARRY & N2)
1015,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA SAMORA MACHEL, VANGUARD, N2)"
1016,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (HIGHLANDS DR, VANGUARD, N2)"
1017,KHAYELITSHA SITE C,PLATTEKLOOF
1018,RETREAT,"ATHLONE (VIA M5, OTTERY RD, ROSMEAD, MILNER & KLIPFONTEIN)"
1019,KHAYELITSH SITE C,PANORAMA
1020,LWANDLE,SOMERSET WEST MALL
1021,LWANDLE,HELDERVUE (SOMERSET WES)
1022,LWANDLE,SOMERSET WEST
1023,LWANDLE,KOGGELBAAI
1024,KHAYELITSH SITE C,MONTE VISTA
1025,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MOWBRAY)
1026,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, LIESBEECK PRKWY, STATION RD, MAIN RD)"
1027,KHAYELITSHA SITE C,KILLARNEY
1028,GUGULETU,MOWBRAY
1029,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS
1030,YSTERPLAAT RAILWAY STATION,FRANKDALE
1031,YSTERPLAAT RAILWAY STATION,SANDRIF
1032,YSTERPLAAT RAILWAY STATION,MILNERTON
1033,YSTERPLAAT RAILWAY STATION,CAMBRIDGE
1034,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS (VIA SANDRIF)
1035,KALKFONTEIN,SHOPRITE KUILSRIVER
1036,VREDENDAL,CAPE TOWN
1037,STELLENBOSCH (DU TOIT STATION),BELLVILLE
1038,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MERRYDALE)
1039,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, EASTERN BLVD)"
1040,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA BORCHERDS QUARRY & N2)
1041,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA SAMORA MACHEL, VANGUARD, N2)"
1042,GUGULETU,CLAREMONT
1043,PHILIPPI,ATHLONE
1044,PHILIPPI,MOWBRAY
1045,PHILIPPI,CAPE TOWN
1046,DU NOON,BELLVILLE
1047,WYNBERG,HOUT BAY
1048,BELLVILLE,DU NOON
1049,LWANDLE,SIR LOWRY'S PASS
1050,SAMORA MACHEL,CAPE TOWN
1051,KRAAIFONTEIN,SCOTTSVILLE  - BRACKENFELL
1052,BLOEKOMBOS,BELLVILLE (VIA WALLACEDENE)
1053,NORTHPINE,BELLVILLE
1054,BLOEKOMBOS,SCOTTSVILLE
1055,SCOTTSVILLE,BELLVILLE
1056,SCOTTSVILLE,SCOTTSDENE
1057,BRACKENFELL STATION,DURBANVILLE
1058,NORTHPINE,CAPE GATE (VIA PROTEA HEIGHTS)
1059,SCOTTSDENE,CAPE GATE
1060,NORTHPINE,CAPE GATE
1061,EIKENFONTEIN,CAPE GATE
1062,SCOTTSVILLE,CAPE GATE
1063,BLOEKOMBOS,CAPE GATE
1064,WALLACEDENE,CAPE GATE
1065,KRAAIFONTEIN,CAPE GATE
1066,BLOEKOMBOS,CAPE GATE (VIA MAROELA RD & N1)
1067,KHAYELITSHA,PANORAMA (VIA ELSIES RIVER)
1068,BELLVILLE,CAPE TOWN
1069,LANGA,VANGATE MALL
1070,BONTEHEUWEL,VANGATE MALL
1071,PHILIPPI,VANGATE MALL
1072,NYANGA,VANGATE MALL
1073,GUGULETU,VANGATE MALL
1074,GUGULETU,VANGATE MALL
1075,SAMORA MACHEL,VANGATE MALL
1076,HANOVER PARK,VANGATE MALL (VIA BELGRAVIA RD)
1077,HANOVER PARK,VANGATE MALL (VIA NEWFIELDS)
1078,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR)
1079,BONTEHEUWEL,VANGATE MALL
1080,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD)
1081,HEIDEVELD,VANGATE MALL (VIA DEVILS PEAK RD & KLIPFONTEIN RD)
1082,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD & 5TH AVENUE)
1083,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR)
1084,KHAYELITSHA SITE C,VANGATE MALL (VIA N2)
1085,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR)
1086,HANOVER PARK,VANGATE MALL (VIA NEWFIELDS)
1087,ATHLONE,VANGATE MALL (VIA BRIDGETOWN)
1088,ATHLONE,VANGATE MALL (VIA BRIDGETOWN)
1089,LEIDEN DELFT,CAPE TOWN (VIA N2 & MAIN RD)
1090,FEZEKA,MITCHELL'S PLAIN
1091,SAMORA MACHEL,MITCHELL'S PLAIN
1092,LWANDLE,HELDERBERG (VIA HELDERVUE)
1093,PHILIPPI STATION TRANSPORT INTERCHANGE,MITCHELLS PLAIN
1094,NYANGA STATION PUBLIC TRANSPORT INTERCHANGE,MITCHELLS PLAIN (VIA FEZEKA)
1095,ATHLONE,BRIDGETOWN (VIA VANGATE MALL)
1096,IMIZAMO YETHU,HOUT BAY DAY HOSPITAL
1097,IMIZAMO YETHU,SHOPRITE HOUT BAY
1098,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)"
1099,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1 & DURBAN RD)"
1100,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)"
1101,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)"
1102,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)"
1103,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)"
1104,MACASSAR,SOMERSET WEST
1105,MFULENI,TYGERBERG RAILWAY STATION (VIA ELSIES RIVER & PAROW)
1106,MFULENI,ELSIES RIVER
1107,LWANDLE,SOMERSET WEST
1108,LWANDLE,SOMERSET WEST RAILWAY STATION
1109,LWANDLE,SIR LOWRYS PASS
1110,MAITLAND STATION,KILLARNEY & DU NOON (VIA N1 & N7)
1111,MAITLAND STATION,SUMMER GREENS(VIA N1 FREEWAY)
1112,MAITLAND STATION,SUMMER GREENS (VIA SANDRIFT)
1113,MAITLAND STATION,"WEST BEACH, SUNNINGDALE & PARKLANDS"
1114,MAITLAND STATION,KILLARNAY & DU NOON (VIA KOEBERG ROAD)
1115,MAITLAND STATION,MILNERTON RIDGE (VIA ASCOT VILLAGE)
1116,MAITLAND STATION,PARKLANDS (VIA KOEBERG ROAD)
1117,LANGA,CAPE TOWN
1118,LANGA,CENTURY CITY
1119,WYNBERG,HOUT BAY (VIA VICTORIA HOSPITAL)
1120,SUBURBAN BLISS,TYGERBERG STATION (VIA TYGERBERG HOSPITAL)
1121,MUTUAL STATION,RICHWOOD
1122,MUTUAL STATION,BOTHASIG
1123,ROOSENDAL,BELLVILLE
1124,KOEBERG STATION,PARKLANDS
1125,KOEBERG STATION,PARKLANDS
1126,KOEBERG STATION,PARKLANDS
1127,KOEBERG STATION,PARKLANDS
1128,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, DUINEFONTEIN & PHILLIPPI RING RD)"
1129,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, LANSDOWNE, JAN SMUTS DR & TURFHALL)"
1130,MITCHELLS PLAIN,"CLAREMONT (VIA ROCKLANDS, WESTGATE MALL, OLD LANSDOWNE, HEINS & TURFHALL)"
1131,NYANGA,PAROW
1132,NYANGA,TYGERBERG STATION (VIA TYGERBERG HOSPITAL)
1133,NYANGA,ELSIES RIVER
1134,MACASSAR,EERSTE RIVIER STASIE
1135,MACASSAR,SOMERSET WEST
1136,MACASSAR,SOMERSET WEST
1137,MELKBOSSTRAND,ATLANTIS
1138,CAPE TOWN,KOEBERG STATION
1139,SANDRIFT,KOEBERG STATION
1140,MONTAGUE GARDENS,KOEBERG STATION
1141,MILNERTON,KOEBERG STATION
1142,CAMBRIDGE,KOEBERG STATION
1143,KOEBERG STATION,TABLEVIEW
1144,CAPE TOWN,MAMRE (VIA KILLARNEY)
1145,MAITLAND,KILLARNEY
1146,TABLEVIEW,YSTERPLAAT
1147,KILLARNEY,MAITLAND
1148,KILLARNEY,MAITLAND
1149,TABLE VIEW,DU NOON
1150,DU NOON,TABLEVIEW
1151,TABLE VIEW,DU NOON
1152,DU NOON,TABLEVIEW
1153,TABLE VIEW,MORNINGSTAR
1154,MORNINGSTAR,TABLEVIEW
1155,CAPE TOWN,TABLEVIEW (VIA SUMMER GREENS & MONTAGUE GARDENS)
1156,KOEBERG STATION,TABLEVIEW
1157,YSTERPLAAT STATION,TABLEVIEW
1158,KOEBERG STATION,TABLEVIEW (VIA N1 & MONTAGUE GARDENS)
1159,KOBERG STATION,TABLEVIEW (VIA RACECOURSE)
1160,KOBERG STATION,TABLEVIEW (VIA LOXTON ROAD)
1161,KOBERG STATION,TABLEVIEW (VIA BOUNDARY ROAD)
1162,KILLARNEY,KOEBERG RAILWAY STATION
1163,KOEBERG STATION,KILLARNEY
1164,CAPE TOWN,KILLARNEY (VIA SUMMER GREENS & MONTAGUE GARDENS)
1165,KOEBERG STATION,KILLARNEY
1166,YSTERPLAAT,KILLARNEY
1167,YSTERPLAAT,KILLARNEY
1168,KOEBEGR STATION,KILLARNEY
1169,KILLARNEY,DU NOON
1170,DE NOON,KILLARNEY
1171,KOBERG STATION,"KILLARNEY (VIA N1, N7 & MONTAGUE GARDENS)"
1172,MORNINGSTAR,KILLARNEY
1173,KOEBERG STATION,DOLPHIN BEACH
1174,SUMMERGREENS,KOEBERG STATION
1175,KILLARNEY,KOEBERG STATION
1176,PAARDEN EILAND,KOEBERG STATION
1177,YSTERPLAAT STATION,KOEBERG STATION
