ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
AEB3,AIRPORT IND - CAPE TOWN VIA BONTEHEUWEL VIA LANGA VIA MOWBRAY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AFA8,BELLVILLE to SACKS CIRCLE,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
AFA8,BELLVILLE to SACKS CIRCLE,LAST,On Sacks Circle 6th after Peter Barlow,Stop,18.6530603894174,-33.9307561113888
AHA0,BRIDGETOWN to MOWBRAY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA0,BRIDGETOWN to MOWBRAY,LAST,Mowbray,Station,18.4736745575384,-33.9485832827389
AHA1,MOWBRAY to BRIDGETOWN,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
AHA1,MOWBRAY to BRIDGETOWN,LAST,On Blossom Street after Appledene,Stop,18.5303579925399,-33.9625338055026
AHA4,BRIDGETOWN to CITY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA4,BRIDGETOWN to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AHA5,CITY GOLDEN ACRE G LANE to BRIDGETOWN,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AHA5,CITY GOLDEN ACRE G LANE to BRIDGETOWN,LAST,On Blossom Street after Appledene,Stop,18.5303579925399,-33.9625338055026
AHA8,BRIDGETOWN to CITY,FIRST,On Blossom Street after Durant,Stop,18.5295288856433,-33.9637747436663
AHA8,BRIDGETOWN to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA0,BONTEHEUWEL to MOWBRAY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA0,BONTEHEUWEL to MOWBRAY,LAST,Mowbray,Station,18.4736745575384,-33.9485832827389
AJA1,MOWBRAY to BONTEHEUWEL,FIRST,Mowbray,Station,18.4736745575384,-33.9485832827389
AJA1,MOWBRAY to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA3,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA3,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA4,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA4,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA5,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJA5,CITY GOLDEN ACRE G LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA8,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJA8,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJB2,CITY GOLDEN ACRE A LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJB2,CITY GOLDEN ACRE A LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJB3,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJB3,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJB6,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJB6,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJB7,CITY GOLDEN ACRE A LANE to BONTEHEUWEL,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AJB7,CITY GOLDEN ACRE A LANE to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJB8,BONTEHEUWEL to WYNBERG,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJB8,BONTEHEUWEL to WYNBERG,LAST,Wynberg,Station,18.4723187782022,-34.005210977062
AJB9,WYNBERG to BONTEHEUWEL,FIRST,Wynberg,Station,18.4723187782022,-34.005210977062
AJB9,WYNBERG to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJC2,BONTEHEUWEL to CITY,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AJC2,BONTEHEUWEL to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AKA0,BONTEHEUWEL to NDABENI STN,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AKA0,BONTEHEUWEL to NDABENI STN,LAST,On Gunners Circle 2nd after Moody,Stop,18.5260259238625,-33.9301343333898
AKA6,KOEBERG STN to BONTEHEUWEL,FIRST,Koeberg Station,Station,18.47723554765,-33.9252489246432
AKA6,KOEBERG STN to BONTEHEUWEL,LAST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AKA8,BONTEHEUWEL to KOEBERG STN,FIRST,Bonteheuwel,Station,18.5520313179279,-33.9518233154907
AKA8,BONTEHEUWEL to KOEBERG STN,LAST,Koeberg Station,Station,18.47723554765,-33.9252489246432
AKA9,KOEBERG STN to HEIDEVELD,FIRST,Koeberg Station,Station,18.47723554765,-33.9252489246432
AKA9,KOEBERG STN to HEIDEVELD,LAST,Heideveld Station,Station,18.5613059843529,-33.9700946074198
AMC0,BISHOP LAVIS to TYGERBERG HOSP,FIRST,On Bishop Lavis Drive after 35th Ave,Stop,18.5939588758874,-33.94568508495
AMC0,BISHOP LAVIS to TYGERBERG HOSP,LAST,Tygerberg Hospital 1,Stop,18.6113481290957,-33.9134482706897
AMC7,TYGERBERG HOSP to BISHOP LAVIS,FIRST,On Francie van Zijl 1st after Milldene,Stop,18.6055808243898,-33.9166303885279
