trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,FAURE,FIRGROVE,SOMERSET WEST,VAN DER STEL,STRAND
3213,MONDAYS TO FRIDAYS,outbound,S3,09:55,09:58,10:02,10:04,10:07,10:10,10:12,10:15,10:17,10:19,10:22,10:25,10:27,10:32,10:38,10:43,10:47,10:51,10:56,11:02,11:08,11:11,11:16
3215,SATURDAYS,outbound,S3,09:55,09:58,10:02,10:04,10:07,10:10,10:12,10:15,10:17,10:19,10:22,10:25,10:27,10:32,10:38,10:43,10:47,10:51,10:56,11:12,11:18,11:21,11:26
3214,SATURDAYS,inbound,S3,11:02,10:57,10:54,10:51,10:49,10:46,10:44,10:41,10:39,10:37,10:35,10:32,10:30,10:26,10:18,10:13,10:09,10:05,10:00,09:54,09:49,09:45,09:40
3207,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,10:34,10:37,10:41,10:43,10:46,10:49,10:51,10:54,10:56,10:58,11:01,11:04,11:06,11:11,11:17,11:22,11:26,11:30,11:35,11:41,11:47,11:50,11:55
3216,MONDAYS TO FRIDAYS,inbound,S3,11:42,11:37,11:34,11:31,11:29,11:26,11:24,11:21,11:19,11:17,11:15,11:12,11:10,11:06,10:58,10:53,10:49,10:45,10:40,10:34,10:29,10:25,10:20
3208,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,11:57,11:52,11:49,11:46,11:44,11:41,11:39,11:36,11:34,11:32,11:30,11:27,11:25,11:21,11:13,11:08,11:04,11:00,10:55,10:49,10:44,10:40,10:35
3215,MONDAYS TO FRIDAYS,outbound,S3,11:10,11:13,11:17,11:19,11:22,11:25,11:27,11:30,11:32,11:34,11:37,11:40,11:42,11:47,11:53,11:58,12:02,12:06,12:11,12:17,12:23,12:26,12:31
3217,SATURDAYS,outbound,S3,11:14,11:17,11:21,11:23,11:26,11:29,11:31,11:34,11:36,11:38,11:41,11:44,11:46,11:51,11:57,12:02,12:06,12:10,12:15,12:21,12:27,12:30,12:35
3218,MONDAYS TO FRIDAYS,inbound,S3,12:48,12:43,12:40,12:37,12:35,12:32,12:30,12:27,12:25,12:23,12:21,12:18,12:16,12:12,12:04,11:59,11:55,11:51,11:46,11:40,11:35,11:31,11:26
3219,SATURDAYS,outbound,S3,11:59,12:02,12:06,12:08,12:11,12:14,12:16,12:19,12:21,12:23,12:26,12:29,12:31,12:36,12:42,12:47,12:51,12:55,13:00,13:15,13:21,13:24,13:29
3210,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,13:26,13:21,13:18,13:15,13:13,13:10,13:08,13:05,13:03,13:01,12:59,12:56,12:54,12:50,12:42,12:37,12:33,12:29,12:24,12:18,12:13,12:09,12:04
3217,MONDAYS TO FRIDAYS,outbound,S3,12:35,12:38,12:42,12:44,12:47,12:50,12:52,12:55,12:57,12:59,13:02,13:05,13:07,13:12,13:18,13:23,13:27,13:31,13:36,13:42,13:48,13:51,13:56
3209,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,12:39,12:42,12:46,12:48,12:51,12:54,12:56,12:59,13:01,13:03,13:06,13:09,13:11,13:16,13:22,13:27,13:31,13:35,13:40,13:46,13:52,13:55,14:00
3220,SATURDAYS,inbound,S3,14:06,14:01,13:58,13:55,13:53,13:50,13:48,13:45,13:43,13:41,13:39,13:36,13:34,13:30,13:22,13:17,13:13,13:09,13:04,12:58,12:53,12:49,12:44
3220,MONDAYS TO FRIDAYS,inbound,S3,14:17,14:12,14:09,14:06,14:04,14:01,13:59,13:56,13:54,13:52,13:50,13:47,13:45,13:41,13:33,13:28,13:24,13:20,13:15,13:09,13:04,13:00,12:55
3221,SATURDAYS,outbound,S3,13:23,13:26,13:30,13:32,13:35,13:38,13:40,13:43,13:45,13:47,13:50,13:53,13:55,14:02,14:08,14:13,14:17,14:21,14:26,14:32,14:38,14:41,14:46
3219,MONDAYS TO FRIDAYS,outbound,S3,13:45,13:48,13:52,13:54,13:57,14:00,14:02,14:05,14:07,14:09,14:12,14:15,14:17,14:22,14:28,14:33,14:37,14:41,14:46,14:52,14:58,15:01,15:06
3222,SATURDAYS,inbound,S3,15:02,14:57,14:54,14:51,14:49,14:46,14:44,14:41,14:39,14:37,14:35,14:32,14:30,14:26,14:18,14:13,14:09,14:05,14:00,13:54,13:49,13:45,13:40
3221,MONDAYS TO FRIDAYS,outbound,S3,14:28,14:31,14:35,14:37,14:40,14:43,14:45,14:48,14:50,14:52,14:55,14:58,15:00,15:05,15:11,15:16,15:20,15:24,15:29,15:35,15:41,15:44,15:49
3222,MONDAYS TO FRIDAYS,inbound,S3,15:32,15:27,15:24,15:21,15:19,15:16,15:14,15:11,15:09,15:07,15:05,15:02,15:00,14:56,14:48,14:43,14:39,14:35,14:30,14:24,14:19,14:15,14:10
3212,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,15:32,15:27,15:24,15:21,15:19,15:16,15:14,15:11,15:09,15:07,15:05,15:02,15:00,14:56,14:48,14:43,14:39,14:35,14:30,14:24,14:19,14:15,14:10
3223,SATURDAYS,outbound,S3,14:40,14:43,14:47,14:49,14:52,14:55,14:57,15:00,15:02,15:04,15:07,15:10,15:12,15:17,15:23,15:28,15:32,15:36,15:41,15:47,15:53,15:56,16:01
