trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,NDABENI,PINELANDS,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,LENTEGEUR,MITCHELLS PL.,KAPTEINSKLIP
9565,MONDAYS TO FRIDAYS,outbound,S12,18:00,18:03,18:06,18:08,18:11,18:14,18:16,18:21,18:25,18:28,18:31,18:35,18:39,18:45,18:48,18:51
9567,MONDAYS TO FRIDAYS,outbound,S12,18:10,18:13,18:16,18:18,18:21,18:24,18:26,18:31,18:35,18:38,18:41,18:45,18:49,18:55,18:58,19:01
9569,MONDAYS TO FRIDAYS,outbound,S12,18:35,18:38,18:41,18:43,18:46,18:49,18:51,18:56,19:00,19:03,19:06,19:10,19:14,19:20,19:23,19:26
9571,MONDAYS TO FRIDAYS,outbound,S12,19:00,19:03,19:06,19:08,19:11,19:14,19:16,19:21,19:25,19:28,19:31,19:35,19:39,19:45,19:48,19:51
9573,MONDAYS TO FRIDAYS,outbound,S12,19:40,19:43,19:46,19:48,19:51,19:54,19:56,20:01,20:05,20:08,20:11,20:15,20:19,20:25,20:28,20:31
9575,MONDAYS TO FRIDAYS,outbound,S12,20:18,20:21,20:24,20:26,20:29,20:32,20:34,20:39,20:43,20:46,20:49,20:53,20:57,21:03,21:06,21:09
9502,MONDAYS TO FRIDAYS,inbound,S12,05:28,05:24,05:21,05:18,05:16,05:13,05:11,05:06,05:03,04:59,04:55,04:51,04:46,04:42,04:38,04:35
9504,MONDAYS TO FRIDAYS,inbound,S12,06:01,05:57,05:54,05:51,05:49,05:46,05:44,05:39,05:36,05:32,05:28,05:24,05:19,05:15,05:11,05:08
9506,MONDAYS TO FRIDAYS,inbound,S12,06:18,06:14,06:11,06:08,06:06,06:03,06:01,05:56,05:53,05:49,05:45,05:41,05:36,05:32,05:28,05:25
9516,MONDAYS TO FRIDAYS,inbound,S12,07:43,07:39,07:36,07:33,07:31,07:28,07:26,07:21,07:18,07:14,07:10,07:06,07:01,06:57,06:53,06:50
9570,MONDAYS TO FRIDAYS,inbound,S12,07:55,07:51,07:48,07:45,07:43,07:40,07:38,07:33,07:30,07:26,07:22,07:18,,,,
9518,MONDAYS TO FRIDAYS,inbound,S12,08:05,08:01,07:58,07:55,07:53,07:50,07:48,07:43,07:40,07:36,07:32,07:28,07:23,07:19,07:15,07:12
9520,MONDAYS TO FRIDAYS,inbound,S12,08:25,08:21,08:18,08:15,08:13,08:10,08:08,08:03,08:00,07:56,07:52,07:48,07:43,07:39,07:35,07:32
9522,MONDAYS TO FRIDAYS,inbound,S12,08:43,08:39,08:36,08:33,08:31,08:28,08:26,08:21,08:18,08:14,08:10,08:06,08:03,07:59,07:55,07:52
9524,MONDAYS TO FRIDAYS,inbound,S12,09:17,09:13,09:10,09:07,09:05,09:02,09:00,08:55,08:52,08:48,08:44,08:40,08:36,08:32,08:28,08:25
9526,MONDAYS TO FRIDAYS,inbound,S12,09:51,09:47,09:44,09:41,09:39,09:36,09:34,09:29,09:26,09:22,09:18,09:14,09:11,09:07,09:03,09:00
9528,MONDAYS TO FRIDAYS,inbound,S12,10:26,10:22,10:19,10:16,10:14,10:11,10:09,10:04,10:01,09:57,09:53,09:49,09:46,09:42,09:38,09:35
9530,MONDAYS TO FRIDAYS,inbound,S12,11:01,10:57,10:54,10:51,10:49,10:46,10:44,10:39,10:36,10:32,10:28,10:24,10:21,10:17,10:13,10:10
9534,MONDAYS TO FRIDAYS,inbound,S12,11:56,11:52,11:49,11:46,11:44,11:41,11:39,11:34,11:31,11:27,11:23,11:19,11:16,11:12,11:08,11:05
9536,MONDAYS TO FRIDAYS,inbound,S12,12:26,12:22,12:19,12:16,12:14,12:11,12:09,12:04,12:01,11:57,11:53,11:49,11:46,11:42,11:38,11:35
9538,MONDAYS TO FRIDAYS,inbound,S12,13:01,12:57,12:54,12:51,12:49,12:46,12:44,12:39,12:36,12:32,12:28,12:24,12:26,12:22,12:18,12:15
9540,MONDAYS TO FRIDAYS,inbound,S12,13:31,13:27,13:24,13:21,13:19,13:16,13:14,13:09,13:06,13:02,12:58,12:54,12:51,12:47,12:43,12:40
9542,MONDAYS TO FRIDAYS,inbound,S12,14:01,13:57,13:54,13:51,13:49,13:46,13:44,13:39,13:36,13:32,13:28,13:24,13:24,13:20,13:16,13:13
9544,MONDAYS TO FRIDAYS,inbound,S12,14:31,14:27,14:24,14:21,14:19,14:16,14:14,14:09,14:06,14:02,13:58,13:54,13:51,13:47,13:43,13:40
9546,MONDAYS TO FRIDAYS,inbound,S12,15:06,15:02,14:59,14:56,14:54,14:51,14:49,14:44,14:41,14:37,14:33,14:29,14:31,14:27,14:23,14:20
9548,MONDAYS TO FRIDAYS,inbound,S12,15:31,15:27,15:24,15:21,15:19,15:16,15:14,15:09,15:06,15:02,14:58,14:54,14:51,14:47,14:43,14:40
9550,MONDAYS TO FRIDAYS,inbound,S12,16:06,16:02,15:59,15:56,15:54,15:51,15:49,15:44,15:41,15:37,15:33,15:29,15:26,15:22,15:18,15:15
9552,MONDAYS TO FRIDAYS,inbound,S12,16:31,16:27,16:24,16:21,16:19,16:16,16:14,16:09,16:06,16:02,15:58,15:54,15:51,15:47,15:43,15:40
9554,MONDAYS TO FRIDAYS,inbound,S12,16:51,16:47,16:44,16:41,16:39,16:36,16:34,16:29,16:26,16:22,16:18,16:14,16:11,16:07,16:03,16:00
9556,MONDAYS TO FRIDAYS,inbound,S12,17:16,17:12,17:09,17:06,17:04,17:01,16:59,16:54,16:51,16:47,16:43,16:39,16:39,16:35,16:31,16:28
9558,MONDAYS TO FRIDAYS,inbound,S12,17:53,17:49,17:46,17:43,17:41,17:38,17:36,17:31,17:28,17:24,17:20,17:16,17:11,17:07,17:03,17:00
9560,MONDAYS TO FRIDAYS,inbound,S12,18:14,18:10,18:07,18:04,18:02,17:59,17:57,17:52,17:49,17:45,17:41,17:37,17:34,17:30,17:26,17:23
9562,MONDAYS TO FRIDAYS,inbound,S12,18:51,18:47,18:44,18:41,18:39,18:36,18:34,18:29,18:26,18:22,18:18,18:14,18:11,18:07,18:03,18:00
9564,MONDAYS TO FRIDAYS,inbound,S12,19:11,19:07,19:04,19:01,18:59,18:56,18:54,18:49,18:46,18:42,18:38,18:34,18:31,18:27,18:23,18:20
9568,MONDAYS TO FRIDAYS,inbound,S12,20:01,19:57,19:54,19:51,19:49,19:46,19:44,19:39,19:36,19:32,19:28,19:24,19:21,19:17,19:13,19:10
9501,MONDAYS TO FRIDAYS,outbound,S12,05:10,05:13,05:16,05:18,05:21,05:24,05:26,05:31,05:35,05:38,05:41,05:45,05:49,05:55,05:58,06:01
9503,MONDAYS TO FRIDAYS,outbound,S12,05:35,05:38,05:41,05:43,05:46,05:49,05:51,05:56,06:00,06:03,06:06,06:10,06:14,06:20,06:23,06:26
