trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,STOCK ROAD,MANDALAY,NOLUNGILE,NONKQUBELA,KHAYELITSHA,KUYASA,CHRIS HANI
9921,SATURDAYS,outbound,S11,07:50,07:54,07:58,08:03,08:08,08:12,08:15,08:18,08:22,08:27,08:30,08:33,08:36,08:39,08:43,08:47,08:51
9942,MONDAYS TO FRIDAYS,inbound,S11,09:23,09:18,09:14,09:08,09:04,09:01,08:57,08:53,08:49,08:44,08:41,08:39,08:34,08:31,08:28,08:24,08:20
9928,SATURDAYS,inbound,S11,09:24,09:19,09:15,09:09,09:05,09:02,08:58,08:55,08:52,08:47,08:44,08:42,08:37,08:34,08:28,08:24,08:20
9923,MONDAYS TO FRIDAYS,outbound,S11,08:00,08:04,08:08,08:13,08:18,08:22,08:25,08:28,08:32,08:37,08:40,08:43,08:46,08:49,08:53,08:57,09:01
9944,MONDAYS TO FRIDAYS,inbound,S11,09:43,09:38,09:34,09:28,09:24,09:21,09:17,09:13,09:09,09:04,09:01,08:59,08:54,08:51,08:48,08:44,08:40
9924,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,09:44,09:39,09:35,09:29,09:25,09:22,09:18,09:15,09:12,09:07,09:04,09:02,08:57,08:54,08:48,08:44,08:40
9919,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,08:25,08:29,08:33,08:38,08:43,08:47,08:50,08:53,08:57,09:02,09:05,09:08,09:11,09:14,09:18,09:22,09:26
9925,MONDAYS TO FRIDAYS,outbound,S11,08:30,08:34,08:38,08:43,08:48,08:52,08:55,08:58,09:02,09:07,09:10,09:13,09:16,09:19,09:23,09:27,09:31
9923,SATURDAYS,outbound,S11,08:30,08:34,08:38,08:43,08:48,08:52,08:55,08:58,09:02,09:07,09:10,09:13,09:16,09:19,09:23,09:27,09:31
9946,MONDAYS TO FRIDAYS,inbound,S11,10:13,10:08,10:04,09:58,09:54,09:51,09:47,09:43,09:39,09:34,09:31,09:29,09:24,09:21,09:18,09:14,09:10
9930,SATURDAYS,inbound,S11,10:14,10:09,10:05,09:59,09:55,09:52,09:48,09:45,09:42,09:37,09:34,09:32,09:27,09:24,09:18,09:14,09:10
9927,MONDAYS TO FRIDAYS,outbound,S11,09:00,09:04,09:08,09:13,09:18,09:22,09:25,09:28,09:32,09:37,09:40,09:43,09:46,09:49,09:53,09:57,10:01
9925,SATURDAYS,outbound,S11,09:00,09:04,09:08,09:13,09:18,09:22,09:25,09:28,09:32,09:37,09:40,09:43,09:46,09:49,09:53,09:57,10:01
9948,MONDAYS TO FRIDAYS,inbound,S11,10:43,10:38,10:34,10:28,10:24,10:21,10:17,10:13,10:09,10:04,10:01,09:59,09:54,09:51,09:48,09:44,09:40
9932,SATURDAYS,inbound,S11,10:44,10:39,10:35,10:29,10:25,10:22,10:18,10:15,10:12,10:07,10:04,10:02,09:57,09:54,09:48,09:44,09:40
9926,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,10:44,10:39,10:35,10:29,10:25,10:22,10:18,10:15,10:12,10:07,10:04,10:02,09:57,09:54,09:48,09:44,09:40
9921,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,09:25,09:29,09:33,09:38,09:43,09:47,09:50,09:53,09:57,10:02,10:05,10:08,10:11,10:14,10:18,10:22,10:26
9929,MONDAYS TO FRIDAYS,outbound,S11,09:35,09:39,09:43,09:48,09:53,09:57,10:00,10:03,10:07,10:12,10:15,10:18,10:21,10:24,10:28,10:32,10:36
9927,SATURDAYS,outbound,S11,09:35,09:39,09:43,09:48,09:53,09:57,10:00,10:03,10:07,10:12,10:15,10:18,10:21,10:24,10:28,10:32,10:36
9950,MONDAYS TO FRIDAYS,inbound,S11,11:13,11:08,11:04,10:58,10:54,10:51,10:47,10:43,10:39,10:34,10:31,10:29,10:24,10:21,10:18,10:14,10:10
9934,SATURDAYS,inbound,S11,11:14,11:09,11:05,10:59,10:55,10:52,10:48,10:45,10:42,10:37,10:34,10:32,10:27,10:24,10:18,10:14,10:10
9931,MONDAYS TO FRIDAYS,outbound,S11,10:05,10:09,10:13,10:18,10:23,10:27,10:30,10:33,10:37,10:42,10:45,10:48,10:51,10:54,10:58,11:02,11:06
9929,SATURDAYS,outbound,S11,10:10,10:14,10:18,10:23,10:28,10:32,10:35,10:38,10:42,10:47,10:50,10:53,10:56,10:59,11:03,11:07,11:11
9928,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,11:44,11:39,11:35,11:29,11:25,11:22,11:18,11:15,11:12,11:07,11:04,11:02,10:57,10:54,10:48,10:44,10:40
9952,MONDAYS TO FRIDAYS,inbound,S11,11:48,11:43,11:39,11:33,11:29,11:26,11:22,11:18,11:14,11:09,11:06,11:04,10:59,10:56,10:53,10:49,10:45
9936,SATURDAYS,inbound,S11,11:49,11:44,11:40,11:34,11:30,11:27,11:23,11:20,11:17,11:12,11:09,11:07,11:02,10:59,10:53,10:49,10:45
9923,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,10:25,10:29,10:33,10:38,10:43,10:47,10:50,10:53,10:57,11:02,11:05,11:08,11:11,11:14,11:18,11:22,11:26
9933,MONDAYS TO FRIDAYS,outbound,S11,10:35,10:39,10:43,10:48,10:53,10:57,11:00,11:03,11:07,11:12,11:15,11:18,11:21,11:24,11:28,11:32,11:36
9931,SATURDAYS,outbound,S11,10:45,10:49,10:53,10:58,11:03,11:07,11:10,11:13,11:17,11:22,11:25,11:28,11:31,11:34,11:38,11:42,11:46
9954,MONDAYS TO FRIDAYS,inbound,S11,12:18,12:13,12:09,12:03,11:59,11:56,11:52,11:48,11:44,11:39,11:36,11:34,11:29,11:26,11:23,11:19,11:15
9938,SATURDAYS,inbound,S11,12:24,12:19,12:15,12:09,12:05,12:02,11:58,11:55,11:52,11:47,11:44,11:42,11:37,11:34,11:28,11:24,11:20
9935,MONDAYS TO FRIDAYS,outbound,S11,11:05,11:09,11:13,11:18,11:23,11:27,11:30,11:33,11:37,11:42,11:45,11:48,11:51,11:54,11:58,12:02,12:06
9930,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,12:44,12:39,12:35,12:29,12:25,12:22,12:16,12:13,12:10,12:05,12:02,12:00,11:55,11:52,11:48,11:44,11:40
9933,SATURDAYS,outbound,S11,11:20,11:24,11:28,11:33,11:38,11:42,11:45,11:48,11:52,11:57,12:00,12:03,12:06,12:09,12:13,12:17,12:21
9956,MONDAYS TO FRIDAYS,inbound,S11,12:48,12:43,12:39,12:33,12:29,12:26,12:22,12:18,12:14,12:09,12:06,12:04,11:59,11:56,11:53,11:49,11:45
9925,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,11:25,11:29,11:33,11:38,11:43,11:47,11:50,11:53,11:57,12:02,12:05,12:08,12:11,12:14,12:18,12:22,12:26
9940,SATURDAYS,inbound,S11,12:59,12:54,12:50,12:44,12:40,12:37,12:33,12:30,12:27,12:22,12:19,12:17,12:12,12:09,12:03,11:59,11:55
9937,MONDAYS TO FRIDAYS,outbound,S11,11:35,11:39,11:43,11:48,11:53,11:57,12:00,12:03,12:07,12:12,12:15,12:18,12:21,12:24,12:28,12:32,12:36
9958,MONDAYS TO FRIDAYS,inbound,S11,13:08,13:03,12:59,12:53,12:49,12:46,12:42,12:38,12:34,12:29,12:26,12:24,12:19,12:16,12:13,12:09,12:05
9935,SATURDAYS,outbound,S11,11:50,11:54,11:58,12:03,12:08,12:12,12:15,12:18,12:22,12:27,12:30,12:33,12:36,12:39,12:43,12:47,12:51
9939,MONDAYS TO FRIDAYS,outbound,S11,12:10,12:14,12:18,12:23,12:28,12:32,12:35,12:38,12:42,12:47,12:50,12:53,12:56,12:59,13:03,13:07,13:11
9942,SATURDAYS,inbound,S11,13:39,13:34,13:30,13:24,13:20,13:17,13:13,13:10,13:07,13:02,12:59,12:57,12:52,12:49,12:43,12:39,12:35
9932,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,13:44,13:39,13:35,13:29,13:25,13:22,13:18,13:15,13:12,13:07,13:04,13:02,12:57,12:54,12:48,12:44,12:40
9937,SATURDAYS,outbound,S11,12:20,12:24,12:28,12:33,12:38,12:42,12:45,12:48,12:52,12:57,13:00,13:03,13:06,13:09,13:13,13:17,13:21
9960,MONDAYS TO FRIDAYS,inbound,S11,13:48,13:43,13:39,13:33,13:29,13:26,13:22,13:18,13:14,13:09,13:06,13:04,12:59,12:56,12:53,12:49,12:45
9927,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,12:25,12:29,12:33,12:38,12:43,12:47,12:50,12:53,12:57,13:02,13:05,13:08,13:11,13:14,13:18,13:22,13:26
9941,MONDAYS TO FRIDAYS,outbound,S11,12:40,12:44,12:48,12:53,12:58,13:02,13:05,13:08,13:12,13:17,13:20,13:23,13:26,13:29,13:33,13:37,13:41
9944,SATURDAYS,inbound,S11,14:14,14:09,14:05,13:59,13:55,13:52,13:48,13:45,13:42,13:37,13:34,13:32,13:27,13:24,13:18,13:14,13:10
9939,SATURDAYS,outbound,S11,12:50,12:54,12:58,13:03,13:08,13:12,13:15,13:18,13:22,13:27,13:30,13:33,13:36,13:39,13:43,13:47,13:51
9962,MONDAYS TO FRIDAYS,inbound,S11,14:23,14:18,14:14,14:08,14:04,14:01,13:57,13:53,13:49,13:44,13:41,13:39,13:34,13:31,13:28,13:24,13:20
9943,MONDAYS TO FRIDAYS,outbound,S11,13:10,13:14,13:18,13:23,13:28,13:32,13:35,13:38,13:42,13:47,13:50,13:53,13:56,13:59,14:03,14:07,14:11
9946,SATURDAYS,inbound,S11,14:44,14:39,14:35,14:29,14:25,14:22,14:18,14:15,14:12,14:07,14:04,14:02,13:57,13:54,13:48,13:44,13:40
9934,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,14:44,14:39,14:35,14:29,14:25,14:22,14:18,14:15,14:12,14:07,14:04,14:02,13:57,13:54,13:48,13:44,13:40
9941,SATURDAYS,outbound,S11,13:20,13:24,13:28,13:33,13:38,13:42,13:45,13:48,13:52,13:57,14:00,14:03,14:06,14:09,14:13,14:17,14:21
9929,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,13:25,13:29,13:33,13:38,13:43,13:47,13:50,13:53,13:57,14:02,14:05,14:08,14:11,14:14,14:18,14:22,14:26
9964,MONDAYS TO FRIDAYS,inbound,S11,14:53,14:48,14:44,14:38,14:34,14:31,14:27,14:23,14:19,14:14,14:11,14:09,14:04,14:01,13:58,13:54,13:50
9945,MONDAYS TO FRIDAYS,outbound,S11,13:40,13:44,13:48,13:53,13:58,14:02,14:05,14:08,14:12,14:17,14:20,14:23,14:26,14:29,14:33,14:37,14:41
9948,SATURDAYS,inbound,S11,15:14,15:09,15:05,14:59,14:55,14:52,14:48,14:45,14:42,14:37,14:34,14:32,14:27,14:24,14:18,14:14,14:10
9943,SATURDAYS,outbound,S11,13:55,13:59,14:03,14:08,14:13,14:17,14:20,14:23,14:27,14:32,14:35,14:38,14:41,14:44,14:48,14:52,14:56
9966,MONDAYS TO FRIDAYS,inbound,S11,15:28,15:23,15:19,15:13,15:09,15:06,15:02,14:58,14:54,14:49,14:46,14:44,14:39,14:36,14:33,14:29,14:25
9947,MONDAYS TO FRIDAYS,outbound,S11,14:10,14:14,14:18,14:23,14:28,14:32,14:35,14:38,14:42,14:47,14:50,14:53,14:56,14:59,15:03,15:07,15:11
9950,SATURDAYS,inbound,S11,15:44,15:39,15:35,15:29,15:25,15:22,15:18,15:15,15:12,15:07,15:04,15:02,14:57,14:54,14:48,14:44,14:40
9936,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,15:44,15:39,15:35,15:29,15:25,15:22,15:18,15:15,15:12,15:07,15:04,15:02,14:57,14:54,14:48,14:44,14:40
9931,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,14:25,14:29,14:33,14:38,14:43,14:47,14:50,14:53,14:57,15:02,15:05,15:08,15:11,15:14,15:18,15:22,15:26
9945,SATURDAYS,outbound,S11,14:30,14:34,14:38,14:43,14:48,14:52,14:55,14:58,15:02,15:07,15:10,15:13,15:16,15:19,15:23,15:27,15:31
9968,MONDAYS TO FRIDAYS,inbound,S11,15:58,15:53,15:49,15:43,15:39,15:36,15:32,15:28,15:24,15:19,15:16,15:14,15:09,15:06,15:03,14:59,14:55
9949,MONDAYS TO FRIDAYS,outbound,S11,14:35,14:39,14:43,14:48,14:53,14:57,15:00,15:03,15:07,15:12,15:15,15:18,15:21,15:24,15:28,15:32,15:36
9952,SATURDAYS,inbound,S11,16:14,16:09,16:05,15:59,15:55,15:52,15:48,15:45,15:42,15:37,15:34,15:32,15:27,15:24,15:18,15:14,15:10
9933,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,15:00,15:04,15:08,15:13,15:18,15:22,15:25,15:28,15:32,15:37,15:40,15:43,15:46,15:49,15:53,15:57,16:01
9970,MONDAYS TO FRIDAYS,inbound,S11,16:28,16:23,16:19,16:13,16:09,16:06,16:02,15:58,15:54,15:49,15:46,15:44,15:39,15:36,15:33,15:29,15:25
9951,MONDAYS TO FRIDAYS,outbound,S11,15:05,15:09,15:13,15:18,15:23,15:27,15:30,15:33,15:37,15:42,15:45,15:48,15:51,15:54,15:58,16:02,16:06
9947,SATURDAYS,outbound,S11,15:10,15:14,15:18,15:23,15:28,15:32,15:35,15:38,15:42,15:47,15:50,15:53,15:56,15:59,16:03,16:07,16:11
9938,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,16:44,16:39,16:35,16:29,16:25,16:22,16:18,16:15,16:12,16:07,16:04,16:02,15:57,15:54,15:48,15:44,15:40
9935,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,15:25,15:29,15:33,15:38,15:43,15:47,15:50,15:53,15:57,16:02,16:05,16:08,16:11,16:14,16:18,16:22,16:26
9972,MONDAYS TO FRIDAYS,inbound,S11,16:53,16:48,16:44,16:38,16:34,16:31,16:27,16:23,16:19,16:14,16:11,16:09,16:04,16:01,15:58,15:54,15:50
9954,SATURDAYS,inbound,S11,16:54,16:49,16:45,16:39,16:35,16:32,16:28,16:25,16:22,16:17,16:14,16:12,16:07,16:04,15:58,15:54,15:50
9953,MONDAYS TO FRIDAYS,outbound,S11,15:32,15:36,15:40,15:45,15:50,15:54,15:57,16:00,16:04,16:09,16:12,16:15,16:18,16:21,16:25,16:29,16:33
9955,MONDAYS TO FRIDAYS,outbound,S11,15:45,15:49,15:53,15:58,16:03,16:07,16:10,16:13,16:17,16:22,16:25,16:28,16:31,16:34,16:38,16:42,16:46
9949,SATURDAYS,outbound,S11,15:50,15:54,15:58,16:03,16:08,16:12,16:15,16:18,16:22,16:27,16:30,16:33,16:36,16:39,16:43,16:47,16:51
9988,MONDAYS TO FRIDAYS,inbound,S11,17:18,17:13,17:09,17:03,16:59,16:56,16:52,16:48,16:44,16:39,16:36,16:34,16:29,16:26,16:23,16:19,16:15
9403,MONDAYS TO FRIDAYS,outbound,S11,16:07,16:11,16:15,16:20,16:25,16:29,16:32,16:35,16:39,16:44,16:47,16:50,16:53,16:56,17:00,,
9956,SATURDAYS,inbound,S11,17:34,17:29,17:25,17:19,17:15,17:12,17:08,17:05,17:02,16:57,16:54,16:52,16:47,16:44,16:38,16:34,16:30
9974,MONDAYS TO FRIDAYS,inbound,S11,17:36,17:31,17:27,17:21,17:17,17:14,17:10,17:06,17:02,16:57,16:54,16:52,16:47,16:44,16:41,16:37,16:33
9937,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,16:15,16:19,16:23,16:28,16:33,16:37,16:40,16:43,16:47,16:52,16:55,16:58,17:01,17:04,17:08,17:12,17:16
9940,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,17:44,17:39,17:35,17:29,17:25,17:22,17:18,17:15,17:12,17:07,17:04,17:02,16:57,16:54,16:48,16:44,16:40
9959,MONDAYS TO FRIDAYS,outbound,S11,16:20,16:24,16:28,16:33,16:38,16:42,16:45,16:48,16:52,16:57,17:00,17:03,17:06,17:09,17:13,17:17,17:21
9961,MONDAYS TO FRIDAYS,outbound,S11,16:30,16:34,16:38,16:43,16:48,16:52,16:55,16:58,17:02,17:07,17:09,17:12,17:15,17:18,17:22,17:26,17:30
9951,SATURDAYS,outbound,S11,16:30,16:34,16:38,16:43,16:48,16:52,16:55,16:58,17:02,17:07,17:10,17:13,17:16,17:19,17:23,17:27,17:31
9405,MONDAYS TO FRIDAYS,outbound,S11,16:40,16:44,16:48,16:53,16:58,17:02,17:05,17:08,17:12,17:17,17:20,17:23,17:26,17:29,17:33,,
9976,MONDAYS TO FRIDAYS,inbound,S11,18:11,18:06,18:02,17:56,17:52,17:49,17:45,17:41,17:37,17:32,17:29,17:27,17:22,17:19,17:16,17:12,17:08
9958,SATURDAYS,inbound,S11,18:14,18:09,18:05,17:59,17:55,17:52,17:48,17:45,17:42,17:37,17:34,17:32,17:27,17:24,17:18,17:14,17:10
9963,MONDAYS TO FRIDAYS,outbound,S11,16:55,16:59,17:03,17:08,17:13,17:17,17:20,17:23,17:27,17:32,17:35,17:38,17:41,17:44,17:48,17:52,17:56
9953,SATURDAYS,outbound,S11,17:00,17:04,17:08,17:13,17:18,17:22,17:25,17:28,17:32,17:37,17:40,17:43,17:46,17:49,17:53,17:57,18:01
9965,MONDAYS TO FRIDAYS,outbound,S11,17:05,17:09,17:13,17:18,17:23,17:27,17:30,17:33,17:37,17:42,17:45,17:48,17:51,17:54,17:58,18:02,18:06
9939,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,17:05,17:09,17:13,17:18,17:23,17:27,17:30,17:33,17:37,17:42,17:45,17:48,17:51,17:54,17:58,18:02,18:06
9942,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,18:34,18:29,18:25,18:19,18:15,18:12,18:08,18:05,18:02,17:57,17:54,17:52,17:47,17:44,17:38,17:34,17:30
9978,MONDAYS TO FRIDAYS,inbound,S11,18:43,18:38,18:34,18:28,18:24,18:21,18:17,18:13,18:09,18:04,18:01,17:59,17:54,17:51,17:48,17:44,17:40
9960,SATURDAYS,inbound,S11,18:54,18:49,18:45,18:39,18:35,18:32,18:28,18:25,18:22,18:17,18:14,18:12,18:07,18:04,17:58,17:54,17:50
