route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,12,CAPE TOWN,KOEBERG STN,
DTC5,12,KOEBERG STN,SALT RIVER MARKET,
DYB7,12,CAMBRIDGE,MAMRE (PARADISE RD),
DYI1;DYI3,12,MAMRE (PARADISE RD),TOLLGATE STOP,
DYF4,12,KILLARNEY,MAMRE (PARADISE RD),
BAA7;BAA6,15,CAPE TOWN,DURBANVILLE,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,16,CAPE TOWN,KILLARNEY,
DAG1,16,CAPE TOWN,PARKLANDS,
DAK1;DAK0,16,BLAAUWBERG RIDGE,CAPE TOWN,
DAK8;DAL0,16,CAPE TOWN,KILLARNEY,
DAL9;DAB1;DAG2;DAG3;DAI3,16,BLAAUWBERG RIDGE,KILLARNEY,
MXF0;MXF1,16,KILLARNEY,KILLARNEY,
DTA4;DTH2;DTF9;DTF8;DTG0;DTF0;DTF3,16,CAPE TOWN,KOEBERG STN,
QTB3,16,KOEBERG STN,MELKBOS,
APD7;APD6,18,NYANGA TERM,PHILIPPI EAST SAP,
LCA0;LCA1,18,MURDOCH VALLEY,SIMONSTOWN,
KSI3;KSH0;KSH1;KSB7;KSJ6;KSK5,18,MAKHAZA,MURDOCH VALLEY,
KSG8;KSA3;KSG9,18,HARARE,MURDOCH VALLEY,
APB5;APB4,18,MURDOCH VALLEY,PHILIPPI EAST SAP,
KSK0,18,MURDOCH VALLEY,SITE C,
MBL7;MBM3;MBL6,19,CAPE GATE,TOWN CENTRE,
MIA4;MIB5;MIH4;MIH6,19,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,19,LOST CITY;TAFELSIG,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,19,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,19,ROCKLANDS,TOWN CENTRE,
DAL9;DAB1;DAG2;DAG3;DAI3,21,BLAAUWBERG RIDGE,KILLARNEY,
CKB6,21,ELSIES RIVER,MONTAGUE GARDENS,
MXF0;MXF1,21,KILLARNEY,KILLARNEY GARDENS,
CKA5,21,KILLARNEY,MONTANA,
CKA0;CKC6,21,ELSIES RIVER,KILLARNEY,
CKA9;CKC4,21,KILLARNEY,NETREG,
CKA8,21,KILLARNEY GARDENS,NETREG,
FHC0,22,BONTEHEUWEL,TYGERBERG HOSP,
FHC4,22,BISHOP LAVIS,TYGERBERG STN,
FHA8;FHA9;AMC7;FHA3;AMC0,22,BISHOP LAVIS,TYGERBERG HOSP,
FHC2,22,BONTEHEUWEL,TYGERBERG STN,
AEA0;AEA1,23,BELLVILLE,MOWBRAY,
BAA0,24,BELLVILLE,DURBANVILLE,
BAA4;BAA5,24,BELLVILLE,ESCOM (BRACKENFELL),
BBA2;BBA3,24,BELLVILLE,SCOTTSDENE,
BBC6;BBC7,24,DURBANVILLE,SCOTTSDENE,
YER8;YEF8,24,BELLVILLE,DURBANVILLE,
BAA0,25,BELLVILLE,DURBANVILLE,
BAA8;BAA9,25,DURBANVILLE,LANGEBERG RIDGE,
BAB1,25,BELLVILLE,TYGER VALLEY CENTRE,
BAC0;BAC1,25,BELLVILLE,EVERSDAL,
YER8;YEF8,25,BELLVILLE,DURBANVILLE,
BNA4;BNA5,26,EPPING IND,MOWBRAY,
AHA0;AHA1,27,BRIDGETOWN,MOWBRAY,
AHA4;AHA5;AHA8,27,BRIDGETOWN,CAPE TOWN,
AJA0,27,BONTEHEUWEL,MOWBRAY,
AJA3;AJA4;AJA5;AJB3;AJB6;AJC2;AJA8,27,BONTEHEUWEL,CAPE TOWN,
DXA0;DXA1,27,CAPE TOWN,MOWBRAY,
CXA0;FTB7;CXA1,28,CLAREMONT,WYNBERG,
AHA0;AHA1,29,BRIDGETOWN,MOWBRAY,
AHA4;AHA5;AHA8,29,BRIDGETOWN,CAPE TOWN,
DXA0;DXA1,29,CAPE TOWN,MOWBRAY,
FWA0;FWA1;FWA9;FWC0;FWC1;FWC2,29,CAPE TOWN,HEIDEVELD,
FWA4;FWB5,29,HEIDEVELD,MOWBRAY,
BMA6;BMA7;BMG0;BME3;BMF2;BMF5;BME1;BMC0;BMC1;BMC3;BMA4;BMB8;BMA0;BMA1;BMA2;BMA3,30,CAPE TOWN,EINDHOVEN,
BMB1;BMB2;BMB3;BMD6,30,BELHAR,CAPE TOWN,
BMD9;BMD3,30,CAPE TOWN,SYMPHONY WAY,
BMG3;BMF8;BMG7;BME2;BMD4;BMC8;BMD0;BMD2;BMC5;BMA5;BMA8,30,CAPE TOWN,THE HAGUE,
DXA0;DXA1,30,CAPE TOWN,MOWBRAY,
BJA4;BJA2;BJA3,30,EINDHOVEN,MOWBRAY,
AHA0;AHA1,31,BRIDGETOWN,MOWBRAY,
AHA4;AHA5;AHA8,31,BRIDGETOWN,CAPE TOWN,
DRA0;DRA1;DRA8;DRC7,31,MANENBERG,MOWBRAY,
DRA3;DRA4;DRA5;DRA6;DRA7,31,CAPE TOWN,MANENBERG,
DXA0;DXA1,31,CAPE TOWN,MOWBRAY,
FWA0;FWA1;FWA9;FWC0;FWC1;FWC2,31,CAPE TOWN,HEIDEVELD,
FWA4;FWB5,31,HEIDEVELD,MOWBRAY,
KWA5;KWE0;KWG2;KWA4;KWG0,32,HARARE,WYNBERG,
KWA7;KWA9;KWB3;KWC7;KWC6;KWA6;KWB2,32,MAKHAZA,WYNBERG,
KWB7;KWB4;KWF3;KWB1;KWF2;KWF6;KWA8,32,VILLAGE 3,WYNBERG,
KWD2;KWD8;KWE6;KWE9;KWD9;KWD3,32,HOUT BAY HARBOUR,WYNBERG,
KWD7;KWD6,32,HARARE,HOUT BAY HARBOUR,
KWD1;KWF0;KWF1;KWD0,32,HOUT BAY HARBOUR,MAKHAZA,
KWA1;KWB0,32,SITE C,WYNBERG,
CBA4;CBB6;CBB7;CBC1;CBC6;CBC7;CBC0,33,CAPE TOWN,HANOVER PARK,
CDA0,33,HANOVER PARK,MOWBRAY,
DXA0;DXA1,33,CAPE TOWN,MOWBRAY,
CSA3,34,BONTEHEUWEL,HANOVER PARK,
CSC7;CSC6,34,ELSIES RIVER,SUNSET PARK,
CSB4;CSB5;CSA0,34,ELSIES RIVER,HANOVER PARK,
APF2;APF3,35,BOYSTOWN,NYANGA TERM,
AFA8,36,BELLVILLE,SACKS CIRCLE,
BAA0,36,BELLVILLE,DURBANVILLE,
BAB1,36,BELLVILLE,TYGER VALLEY CENTRE,
CRA0;CRA1;CRA7,36,BELLVILLE,HANOVER PARK,
CRA5,36,DURBANVILLE,HANOVER PARK,
YER8;YEF8,36,BELLVILLE,DURBANVILLE,
CAB0,37,HANOVER PARK,MANENBERG,
CAA5;CAA4,37,CLAREMONT,HANOVER PARK,
DQA0;DQA1;DQA2,37,CLAREMONT,MANENBERG,
CAB0,38,HANOVER PARK,MANENBERG SAP,
CPB1;CPA4;CPA0;CPA2;CPB0;CPB4,38,MANENBERG SAP,WYNBERG,
CPA7,38,HANOVER PARK,WYNBERG,
CHA0;CHB0;CHA1,39,HANOVER PARK,KILLARNEY,
DAL9;DAB1;DAG2;DAG3;DAI3,39,BLAAUWBERG,KILLARNEY,
MXD4,39,HANOVER PARK,KILLARNEY GARDENS,
MXF0;MXF1,39,KILLARNEY,KILLARNEY GARDENS,
PAF2;PAB4;PAY3,39,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,39,ATLANTIS,KILLARNEY,
PAV8;PAW4;PAV9,39,ATLANTIS,HANOVER PARK,
CHA6,39,CENTURY CITY,HANOVER PARK,
CHB2,39,DU NOON,HANOVER PARK,
