route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
KBC1;KBC2;KBF4;KBF5;KBG3;KBI9;KBL9;KBQ1;KBG2;KBH8;KBJ0;KBF2,62,BELLVILLE,HARARE,
KBJ2;KBL4,62,BELLVILLE,SITE C,
KXA8;KXA9,62,DRIFTSANDS,SITE C,
BGB4;BGA1;BGA3;BGA8,62,BELLVILLE,EINDHOVEN,
BGA0,62,BELLVILLE,SYMPHONY WAY,
AFA8,63,BELLVILLE,SACKS CIRCLE,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,63,BELLVILLE,NYANGA TERM,
KBA3;KBC6;KBC7;KBD3;KBJ5;KBK6;KBA2;KBJ4;KBK8;KBP7;KBP9;KBH7,63,BELLVILLE,VILLAGE 3,
KBB3,63,BELLVILLE,ENKANINI,
KBD0;KBE8;KBE9;KBF7;KBF9;KBH4;KBI3;KBJ9;KBO1;KBO4;KBP1;KBQ2;KBL0;KBA7,63,BELLVILLE,MAKHAZA,
KBJ2;KBL4,63,BELLVILLE,SITE C,
KXA8;KXA9,63,DRIFTSANDS,SITE C,
BGB4;BGA1;BGA3;BGA8,63,BELLVILLE,EINDHOVEN,
BGA0,63,BELLVILLE,SYMPHONY WAY,
KBE6,63,BELLVILLE,MAKHAZA,SACKS CIRCLE
CAA5;CAA4,64,CLAREMONT,HANOVER PARK,
MHG6;MHE0;MHH4;MHB4;MHJ5;MHD8;MHB5,64,CLAREMONT,TAFELSIG LOST CITY,
MHA6,64,BEACON VALLEY,CLAREMONT,
ODA4,64,KENILWORTH CENTRE,TAFELSIG LOST CITY,
APK4;DKA4,65,NYANGA TERM,ST FRANCIS CENTRE,
KLA2;KLD1;KLD0,65,ST FRANCIS CENTRE,VILLAGE 3,
KLA7;KLA5,65,HARARE,LANGA,
KLB7;KLD9;KLE3;KLD8;KLF0;KLC6;KLB6;KLC8,65,LANGA,VILLAGE 3,
KLE8;KLA4,65,MAKHAZA,ST FRANCIS CENTRE,
KNA4,65,CNR. NY 108/NY 1,VILLAGE 3,
KLB5,65,HARARE,ST FRANCIS CENTRE,
DKB1,65,LANGA,NYANGA TERM,
DAL9;DAB1;DAG2;DAG3;DAI3,66,BLAAUWBERG RIDGE,KILLARNEY,
KKE9,66,CENTURY CITY,VILLAGE 3,
KKF3;KKY1;KKF2,66,CENTURY CITY,MAKHAZA,
KKH8;KKH9;KKX9;KKH3,66,CENTURY CITY,HARARE,
KKV1,66,CENTURY CITY,ENKANINI,
KKB8;KKE2;KKG2;KKB9;KKH0;KKG9;KKE5,66,KILLARNEY,MAKHAZA,
KKC1;KKZ1,66,HARARE,MONTAGUE GARDENS,
KKF0;KKZ3,66,MAKHAZA,MONTAGUE GARDENS,
KKV7,66,ENKANINI,KILLARNEY,
KKY2;KKR6,66,KILLARNEY,VILLAGE 3,
KSB4;KSD1,66,SITE C,BLOUBERGSTRAND,
KXA8;KXA9,66,DRIFTSANDS,SITE C,
MXF0;MXF1,66,KILLARNEY,KILLARNEY GARDENS,
KKG7;KKO1;KKC9;KKJ9;KKP7;KKP3;KKA5;KKA2;KKO0;KKE3;KKD1;KKU2;KKA4,66,BLAAUWBERG RIDGE,HARARE,
KKS9;KKQ3;KKQ9;KKA1;KKD5;KKP5;KKO5;KKK5;KKO4;KKH7;KKC4;KKF6;KKS8;KKQ8;KKO2;KKD0;KKE0;KKC6;KKA8;KKA0,66,BLAAUWBERG RIDGE,MAKHAZA,
KKD2;KKY8;KKD4,66,BLAAUWBERG RIDGE,ENKANINI,
KKA9;KKN8;KKB7;KKA6;KKQ4,66,HARARE,MELKBOS,
KKY7;KKE1;KKI9;KKV8;KKC5;KKY6,66,MAKHAZA,MELKBOS,
KKE7;KKE6,66,HARARE,KILLARNEY,
KKL8,66,BLAAUWBERG,MAKHAZA,
KKF9;KKD6,66,BLOUBERGSTRAND,HARARE,
KKB1,66,HARARE,KILLARNEY GARDENS,
KKC0,66,BLAAUWBERG RIDGE,MAKHAYA,
KKR8,66,KILLARNEY,SITE C,
KKX4,66,MELKBOS,SITE C,
KKM1;KKD3;KKG8,66,BLAAUWBERG RIDGE,VILLAGE 3,
FUA4;FUA0;FUA1;FUA2,67,CLAREMONT,RONDEBOSCH,
KCE0,67,HARARE,LANSDOWNE,
KCE2,67,LANSDOWNE,MAKHAZA,
KCE3,67,HARARE,KENILWORTH CENTRE,
KCE5,67,KENILWORTH CENTRE,MAKHAZA,
KCC9;KCA5;KCB7;KCA3;KCB9;KCA8;KCA2,67,CLAREMONT,MAKHAZA,
KCA1;KCF2;KCE6;KCA0,67,HARARE,RONDEBOSCH,
KCF5;KCD1;KCF4;KCD0,67,CLAREMONT,ENKANINI,
KCB3;KCB2;KCA4,67,CLAREMONT,HARARE,
KCA7;KCF1;KCC1;KCD6;KCA6,67,CLAREMONT,VILLAGE 3,
KCB1;KCB0;KCC2,67,MAKHAZA,RONDEBOSCH,
KCA9,67,CLAREMONT,SITE C,
KWA5;KWE0;KWG2;KWA4;KWG0,68,HARARE,WYNBERG,
KWA7;KWA9;KWB3;KWC7;KWC6;KWA6;KWB2,68,MAKHAZA,WYNBERG,
KWB7;KWB4;KWF3;KWB1;KWF2;KWF6;KWA8,68,VILLAGE 3,WYNBERG,
KWE3;KWG5;KWE2,68,ENKANINI,WYNBERG,
FTD4,68,PLUMSTEAD,WYNBERG,
KWF9,68,MAKHAZA,OTTERY HYPERMARKET,
KWG7,68,HARARE,OTTERY HYPERMARKET,
KWA2;KWA3,68,HARARE,PLUMSTEAD,
KWC0;KWB9,68,MAKHAZA,PLUMSTEAD,
KWA0,68,PLUMSTEAD,SITE C,
KWA1;KWB0,68,SITE C,WYNBERG,
KWC2,68,MAKHAYA,WYNBERG,
KWB8,68,J BLOCK,WYNBERG,
KXA3;KXD2;YEC4;YEK6;YEM2,69,MAKHAZA,TOWN CENTRE,
KXA4,69,HARARE,TOWN CENTRE,
YEK1,69,TOWN CENTRE,VILLAGE 3,
MNN7,70,ELECTRIC CITY,PANORAMA MEDI CLINIC,
MNK2,70,EINDHOVEN,PANORAMA MEDI CLINIC,
MNL7,70,ELECTRIC CITY,N1 CITY,
EXB4;EXC0;EXC1;EXC2,70,ELSIES RIVER,PANORAMA MEDI CLINIC,
MDC7,71,MFULENI,TYGERBERG STN,
MNA8,71,ELECTRIC CITY,MELTON ROSE STN,
MNC0;MNE8;MNN0;MNO3;MNO4;MNR9;MNY4,71,ELECTRIC CITY,KARL BREMER HOSP,
MNC1;MNB0,71,HILLCREST,KARL BREMER HOSP,
MND4;MNO0;MNP0,71,ELECTRIC CITY,TYGERBERG STN,
MNG7,71,MELTON ROSE STN,PEPCOR FACTORY,
MNI7,71,ELECTRIC CITY,TYGERBERG HOSP,
MNQ2,71,KARL BREMER HOSP,MALIBU,
MNQ4,71,KARL BREMER HOSP,MELTON ROSE STN,
MNR0;RVA0,71,KARL BREMER HOSP,MFULENI,
RUE8;RUE9,71,KUILS RIVER TERM,PEPCOR FACTORY,
MND8,71,HILLCREST,TYGERBERG HOSP,
MNG5,71,ELECTRIC CITY,PEPCOR FACTORY,
MIA4;MIB5;MIH4;MIH6,72,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,72,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,72,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,72,ROCKLANDS,TOWN CENTRE,
MNA8,72,ELECTRIC CITY,MELTON ROSE STN,
MNE3,72,KUILS RIVER,TAFELSIG LOST CITY,
MNG2;MNG3;MNT0,72,KUILS RIVER TERM,TOWN CENTRE,
MNG7,72,MELTON ROSE STN,PEPCOR FACTORY,
MNL6,72,KUILS RIVER,TOWN CENTRE,
MVA4,72,LENTEGEUR HOSP,TAFELSIG LOST CITY,
RUE8;RUE9,72,KUILS RIVER TERM,PEPCOR FACTORY,
MNG5,72,ELECTRIC CITY,PEPCOR FACTORY,
MNN5;MNA6;MNA5;MNN4;MNO6;MNA4;MNS0,72,MELTON ROSE STN,TOWN CENTRE,
MMA0,72,ELECTRIC CITY,TOWN CENTRE,
MND7,72,EERSTE RIVER STN,TOWN CENTRE,
MND3;MNP6,72,MALIBU,TOWN CENTRE,
MNV9;MNV8,73,KOEBERG STN,WESBANK,
MNM2,73,KOEBERG STN,WEMBLEY PARK,
BLB0;BLB1;BLA3,73,EINDHOVEN,KOEBERG STN,
BLA2,73,DELFT SAPS,KOEBERG STN,
MNV1;MNV0,73,ELECTRIC CITY,KOEBERG STN,
MNM3,73,KOEBERG STN,MFULENI,
BHB0;BHA9;BHB1;BHA6;BHA7;BHA1;BHB6;BHA0;BHA4;BHB4;BHA8,74,CLAREMONT,THE HAGUE,
BHA2,74,BELHAR,CLAREMONT,
AFA8,75,BELLVILLE,SACKS CIRCLE,
BAA0,75,BELLVILLE,DURBANVILLE,
BAB1,75,BELLVILLE,TYGER VALLEY CENTRE,
FPA1;FPA5,75,BELLVILLE,KENRIDGE,
MDA0;MDB6;MDD0;MDA3;MDA4;MDA9;MDC0,75,BELLVILLE,ELECTRIC CITY,
MDA2;MDB1;MDC9;MDA6;MDB4;MDD2,75,BELLVILLE,MFULENI,
MDA7;MDA8;MDB2;MDD4,75,DURBANVILLE,MFULENI,
YER8;YEF8,75,BELLVILLE,DURBANVILLE,
MNR3;MNR2;MNN2,75,BLACKHEATH,EINDHOVEN,
MDB3,75,ELECTRIC CITY,TYGER VALLEY CENTRE,
MDB9,75,BELLVILLE,WEMBLEY PARK,
BGB4;BGA1;BGA3;BGA8,75,BELLVILLE,EINDHOVEN,
BGA5,75,EINDHOVEN,TYGER VALLEY CENTRE,
BGA0,75,BELLVILLE,SYMPHONY WAY,
BNA2,76,BELHAR,KILLARNEY GARDENS,
DAL9;DAB1;DAG2;DAG3;DAI3,76,BLAAUWBERG RIDGE,KILLARNEY,
MFA0;MFE0;MNU4,76,KILLARNEY GARDENS,MFULENI,
MFA3,76,ELECTRIC CITY,KILLARNEY GARDENS,
MFB5;MFB9;MFC0;MFA7,76,ELECTRIC CITY,KILLARNEY,
MFD0,76,BRENTWOOD PARK,KILLARNEY,
MFE2;MNF8;MFC7,76,KILLARNEY,MFULENI,
MXF0;MXF1,76,KILLARNEY,KILLARNEY GARDENS,
MFA2,76,BRENTWOOD PARK,KILLARNEY GARDENS,
MFB2,76,KILLARNEY GARDENS,WESBANK,
MFA5;MFC6;MFB4;MFB3,76,BLAAUWBERG RIDGE,MFULENI,
MFC8,76,BLAAUWBERG,MFULENI,
MFD2,76,BLAAUWBERG,ELECTRIC CITY,
BNA3;BNE3,76,BELHAR,KILLARNEY,
MFD8,76,CENTURY CITY,ELECTRIC CITY,
AAE0,77,CAPE TOWN,SOMERSET HOSP,
BTB4,77,MOWBRAY,TOLLGATE STOP,
CBA4;CBB6;CBB7;CBC1;CBC6;CBC7;CBC0,77,CAPE TOWN,HANOVER PARK,
CBB1,77,HANOVER PARK,TOLLGATE STOP,
CDA0,77,HANOVER PARK,MOWBRAY,
DXA0;DXA1,77,CAPE TOWN,MOWBRAY,
MIA4;MIB5;MIH4;MIH6,77,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,77,TAFELSIG,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,77,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,77,ROCKLANDS,TOWN CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,77,CAPE TOWN,TOWN CENTRE,
OPB6;OPI6;OPX4;OPG8;OPW5;OPC8;OPF1;OPG9;OPL0,77,MOWBRAY,TOWN CENTRE,
OPK6;OPL6;OPN2,77,TOLLGATE STOP,TOWN CENTRE,
OPL4,77,TAFELSIG,TOLLGATE STOP,
OPO8,77,CAPE TOWN,TAFELSIG,
OPY2;OPY0;OPJ4,77,BEACON VALLEY,CAPE TOWN,
OPY6;OPI9,77,CAPE TOWN,TAFELSIG,
MXD6;MXD7,77,GROOTE SCHUUR HOSP,ROCKLANDS,
OPF2;OPD2;OPD0,77,CAPE TOWN,KAPTEINSKLIP STN,
OPJ6,77,KAPTEINSKLIP STN,MOWBRAY,
OPM2,77,CAPE TOWN,ROCKLANDS,FREEWAY
OPD5,77,SOMERSET HOSP,TAFELSIG,
OPW3,77,CAPE TOWN,TOWN CENTRE,ROCKLANDS
OPJ0;OPI1,77,SOMERSET HOSP,TOWN CENTRE,
OLA1;OLA0;MGC2,77,HANOVER PARK,TOWN CENTRE,
OPJ2;OPX6,77,MOWBRAY,TAFELSIG,
OPU8,77,MOWBRAY,TAFELSIG,
AAE0,78,CAPE TOWN,SOMERSET HOSP,
BTB4,78,MOWBRAY,TOLLGATE STOP,
CBA4;CBB6;CBB7;CBC1;CBC6;CBC7;CBC0,78,CAPE TOWN,HANOVER PARK,
CBB1,78,HANOVER PARK,TOLLGATE STOP,
CDA0,78,HANOVER PARK,MOWBRAY,
DXA0;DXA1,78,CAPE TOWN,MOWBRAY,
MCA0;MCA1,78,MANDALAY,TOWN CENTRE,
MIA4;MIB5;MIH4;MIH6,78,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,78,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,78,BEACON VALLEY,TOWN CENTRE,
MIC2,78,MERRYDALE AVE,TOWN CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,78,CAPE TOWN,TOWN CENTRE,
OPB6;OPI6;OPX4;OPG8;OPW5;OPC8;OPF1;OPG9;OPL0,78,MOWBRAY,TOWN CENTRE,
OPK6;OPL6;OPN2,78,TOLLGATE STOP,TOWN CENTRE,
OPL4,78,TAFELSIG LOST CITY,TOLLGATE STOP,
OPO8,78,CAPE TOWN,TAFELSIG,
OPS4;OPZ8;OPX9;OPC3,78,CAPE TOWN,MANDALAY,
OPY2;OPY0;OPJ4,78,BEACON VALLEY,CAPE TOWN,
OPY6;OPI9,78,CAPE TOWN,TAFELSIG LOST CITY,
OPN6;OPS2,78,CAPE TOWN,PORTLANDS,
OPV4;OPV6;OPM8,78,CAPE TOWN,CLOCK TOWER,
OPS0,78,CAPE TOWN,MERRYDALE AVE,
OPW7,78,SOMERSET HOSP,TOWN CENTRE,COLORADO PARK
OPD5,78,SOMERSET HOSP,TAFELSIG LOST CITY,
OPJ0;OPI1,78,SOMERSET HOSP,TOWN CENTRE,
OPV8,78,MANDALAY,V&A WATERFRONT,
OPZ3,78,BEACON VALLEY,V&A WATERFRONT,
OPL8,78,CAPE TOWN,COLORADO PARK,
OLA1;OLA0;MGC2,78,HANOVER PARK,TOWN CENTRE,
OPJ2;OPX6,78,MOWBRAY,TAFELSIG LOST CITY,
OPU8,78,MOWBRAY,TAFELSIG,
OPS4;OPZ8;OPX9;OPC3,79,CAPE TOWN,MANDALAY,
OPY2;OPY0;OPJ4,79,BEACON VALLEY,CAPE TOWN,
OPV8,79,MANDALAY,V&A WATERFRONT,
OPZ3,79,BEACON VALLEY,V&A WATERFRONT,
OPL8,79,CAPE TOWN,COLORADO PARK,
AAE0,80,CAPE TOWN,SOMERSET HOSP,
BTB4,80,MOWBRAY,TOLLGATE STOP,
DHB2;DHB3;OPN1,80,CAPE TOWN,LOTUS RIVER,
DXA0;DXA1,80,CAPE TOWN,MOWBRAY,
OPN0,80,CAPE TOWN,STRANDFONTEIN VILL,
OPT1;OPT0,80,BAYVIEW,SOMERSET HOSP,
OPQ4;OPG6,80,BAYVIEW,TOLLGATE STOP,
OPR7;OPQ6;OPY8;OPB3;OPR4;OPR6,80,BAYVIEW,CAPE TOWN,
OOB3,80,LOTUS RIVER,STRANDFONTEIN VILL,
MIA4;MIB5;MIH4;MIH6,81,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,81,TAFELSIG LOST CITY,TOWN CENTRE,
MIC4;OMA0;OMA1,81,EASTRIDGE,TOWN CENTRE,
MID5;MID8,81,ROCKLANDS,TOWN CENTRE,
ODA1;ODA3,81,KENILWORTH CENTRE,TOWN CENTRE,
CAA5;CAA4,81,CLAREMONT,HANOVER PARK,
MHB2;MHB9;MHC2;MHD3;MHC8;MHG0;MHG4;MHH0;MHI2;MHD2;MHB8;MHG5;MHG1;MHB1;MHJ0;MHA4;MHA2;MHH6;MHA3,81,CLAREMONT,TOWN CENTRE,
MHG6;MHE0;MHH4;MHB4;MHJ5;MHD8;MHB5,81,CLAREMONT,TAFELSIG LOST CITY,
MHE4,81,CLAREMONT,WESPOORT,
ODA4,81,KENILWORTH CENTRE,TAFELSIG LOST CITY,
MHD4,81,CLAREMONT,LEAGUES,
MIB1,81,LEAGUES,TOWN CENTRE,
OLA1;OLA0;MGC2,81,HANOVER PARK,TOWN CENTRE,
MHC1,81,CLAREMONT,TOWN CENTRE,ROCKLANDS
MIC2,82,MERRYDALE AVE,TOWN CENTRE,
ODA1;ODA3,82,KENILWORTH CENTRE,TOWN CENTRE,
CAA5;CAA4,82,CLAREMONT,HANOVER PARK,
MHB2;MHB9;MHC2;MHD3;MHC8;MHG0;MHG4;MHH0;MHI2;MHD2;MHB8;MHG5;MHG1;MHB1;MHJ0;MHA4;MHA2;MHH6;MHA3,82,CLAREMONT,TOWN CENTRE,
MHF2,82,CLAREMONT,TOWN CENTRE,KENILWORTH CENTRE;MERRYDALE AVE;TURFHALL RD
MHD4,82,CLAREMONT,LEAGUES,
MIB1,82,LEAGUES,TOWN CENTRE,
OLA1;OLA0;MGC2,82,HANOVER PARK,TOWN CENTRE,
APB2;EGE7;KMH1;EGE6;KMH0;APC1,83,CAPE TOWN,PHILIPPI EAST SAP,
CBA4;CBB6;CBB7;CBC1;CBC6;CBC7;CBC0,83,CAPE TOWN,HANOVER PARK,
MIA4;MIB5;MIH4;MIH6,83,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,83,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,83,BEACON VALLEY,TOWN CENTRE,
MJE0;MJE8;MJE6;MHB7,83,GATTIS FACTORY,TOWN CENTRE,
ODA1;ODA3,83,KENILWORTH CENTRE,TOWN CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,83,CAPE TOWN,TOWN CENTRE,
OPO8,83,CAPE TOWN,TAFELSIG LOST CITY,
OPY2;OPY0;OPJ4,83,BEACON VALLEY,CAPE TOWN,
OPY6;OPI9,83,CAPE TOWN,TAFELSIG LOST CITY,
ODA4,83,KENILWORTH CENTRE,TAFELSIG LOST CITY,
MIE3;MIE0;MIE2,83,PHILIPPI EAST SAP,TOWN CENTRE,
OLA1;OLA0;MGC2,83,HANOVER PARK,TOWN CENTRE,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,84,CAPE TOWN,NYANGA TERM,
AFA8,85,BELLVILLE,SACKS CIRCLE,
BAA0,85,BELLVILLE,DURBANVILLE,
BAB1,85,BELLVILLE,TYGER VALLEY CENTRE,
CRA0;CRA1;CRA7,85,BELLVILLE,HANOVER PARK,
CRA5,85,DURBANVILLE,HANOVER PARK,
MBA7;MBC0;MBD0;MBJ0;MBJ2;MBA8;MBD5,85,BELLVILLE,TOWN CENTRE,
MBC4;MBC7;MBC8;MBF2;MBI6;MBL0;MBF0;MBG6;MBC5,85,TOWN CENTRE,TYGER VALLEY CENTRE,
MBD8;MBH1;MBI5,85,TAFELSIG LOST CITY,TYGER VALLEY CENTRE,
MBJ6;MBL1,85,BELLVILLE,TAFELSIG LOST CITY,
MIA4;MIB5;MIH4;MIH6,85,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,85,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,85,BEACON VALLEY,TOWN CENTRE,
MIC2,85,MERRYDALE AVE,TOWN CENTRE,
MID5;MID8,85,ROCKLANDS,TOWN CENTRE,
YER8;YEF8,85,BELLVILLE,DURBANVILLE,
MBA1;MBA0,85,BELLVILLE,STRANDFONTEIN,
OOB4,85,STRANDFONTEIN VILL,TOWN CENTRE,
MBB2,85,BELLVILLE,STRANDFONTEIN VILL,
MBE4,85,STRANDFONTEIN VILL,TYGER VALLEY CENTRE,
OLA1;OLA0;MGC2,85,HANOVER PARK,TOWN CENTRE,
LCA2;LCA3,86,SEA FORTH,SIMONSTOWN,
MIA4;MIB5;MIH4;MIH6,86,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,86,TAFELSIG LOST CITY,TOWN CENTRE,
MIC2,86,MERRYDALE AVE,TOWN CENTRE,
MID5;MID8,86,ROCKLANDS,TOWN CENTRE,
LCD2,86,MURDOCH VALLEY,SEA FORTH,
LCA0;LCA1,86,MURDOCH VALLEY,SIMONSTOWN,
LCG5,86,MURDOCH VALLEY,SEA FORTH,
LCC2;LCC3;LSB6,86,FISH HOEK,MURDOCH VALLEY,
LCC5;LCC4,86,FISH HOEK,SEA FORTH,
LAF6;LAF7,86,FISH HOEK,MUIZENBERG,
MKA6;MKA1;MKA9;MKA0;MKA8;MKA4,86,SIMONSTOWN,TOWN CENTRE,
OOC3;OOG5;OOG4,86,MUIZENBERG,TOWN CENTRE,
MKC3,86,MURDOCH VALLEY,TAFELSIG LOST CITY,
MKB6;MKB8;MKA7,86,MURDOCH VALLEY,TOWN CENTRE,
OOB4,86,STRANDFONTEIN VILL,TOWN CENTRE,
MKA3;MKA2,86,SEA FORTH,TOWN CENTRE,
MIA4;MIB5;MIH4;MIH6,87,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,87,TAFELSIG LOST CITY,TOWN CENTRE,
OOK5,87,DIEP RIVER,TAFELSIG LOST CITY,
OOK6;OOC9;OOM1;OOC8,87,DIEP RIVER,TOWN CENTRE,
OOD3;OOG0;OOD2,87,PLUMSTEAD,TOWN CENTRE,
OOB4,87,STRANDFONTEIN VILL,TOWN CENTRE,
OOK4,87,DIEP RIVER,TOWN CENTRE,LOTUS RIVER
OOB3,87,LOTUS RIVER,STRANDFONTEIN VILL,
MIA4;MIB5;MIH4;MIH6,89,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,89,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,89,BEACON VALLEY,TOWN CENTRE,
MIC2,89,MERRYDALE AVE,TOWN CENTRE,
MID5;MID8,89,ROCKLANDS,TOWN CENTRE,
YEG0,89,RETREAT,WYNBERG,
YEH2;YEH4,89,RETREAT,WYNBERG,
DXA8,89,RETREAT,WYNBERG,
FRB1,89,STEENBERG,WYNBERG,
OOB0,89,LOTUS RIVER,WYNBERG,
OOB6;OOA5;OOI1;OOE5;OOA1;OOA0;OOD4;OOJ1;OOB7;OOI8,89,TOWN CENTRE,WYNBERG,
OOJ3;OOB9;OOF0;OOK0;OOB8,89,RETREAT,TOWN CENTRE,
OOB4,89,STRANDFONTEIN VILL,TOWN CENTRE,
OOD5,89,TOWN CENTRE,WYNBERG,MONTAGUS GIFT
OOB3,89,LOTUS RIVER,STRANDFONTEIN VILL,
MXF5;MXP5,89,EPPING IND,STRANDFONTEIN VILL,
OOK2,89,OTTERY HYPERMARKET,TAFELSIG LOST CITY,
MXD1;MCA5,89,EPPING IND,TOWN CENTRE,
MXK9;MXK8,89,EPPING IND,TAFELSIG LOST CITY,
OOE8;OOE0;OOI2,89,TAFELSIG LOST CITY,WYNBERG,
OOH8,89,TAFELSIG LOST CITY,WYNBERG,MERRYDALE AVE
COF0,89,EPPING IND,STEENBERG,
MIA4;MIB5;MIH4;MIH6,90,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,90,TAFELSIG,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,90,BEACON VALLEY,TOWN CENTRE,
MVA4,90,LENTEGEUR HOSP,TAFELSIG,
DAL9;DAB1;DAG2;DAG3;DAI3,91,BLAAUWBERG,KILLARNEY,
MIA4;MIB5;MIH4;MIH6,91,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,91,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,91,BEACON VALLEY,TOWN CENTRE,
MIC4;OMA0;OMA1,91,EASTRIDGE,TOWN CENTRE,
MID5;MID8,91,ROCKLANDS,TOWN CENTRE,
MXA3;MXA5;MXF8;MXA8;MXE4,91,KILLARNEY GARDENS,TOWN CENTRE,
MXF0;MXF1,91,KILLARNEY,KILLARNEY GARDENS,
MXS5;MXB0;MXI4;MXJ2,91,KILLARNEY GARDENS,TAFELSIG LOST CITY,
MKO2;MXS7;MXM1;MXJ6,91,KILLARNEY,TOWN CENTRE,
MXA9;MXH7,91,BLAAUWBERG,TOWN CENTRE,
MXL9;MXM3,91,MONTAGUE GARDENS,TOWN CENTRE,
MXL6,91,MONTAGUE GARDENS,TAFELSIG LOST CITY,
MXA2,91,KILLARNEY,WESPOORT,
MXI0,91,KILLARNEY GARDENS,TOWN CENTRE,ROCKLANDS
MXM4,91,KILLARNEY GARDENS,WESPOORT,
MXL4,91,KAPTEINSKLIP STN,KILLARNEY GARDENS,
MXK4,91,EASTRIDGE,KILLARNEY GARDENS,
MXR6,91,KILLARNEY,TAFELSIG LOST CITY,
MIA4;MIB5;MIH4;MIH6,92,TAFELSIG,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,92,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,92,BEACON VALLEY,TOWN CENTRE,
MID5;MID8,92,ROCKLANDS,TOWN CENTRE,
MXB7;MXC1;MXD5;MXB5,92,KOEBERG STN,TOWN CENTRE,
MXB9;MXR8,92,KOEBERG STN,TAFELSIG LOST CITY,
MXB8;OPA6,92,BEACON VALLEY,KOEBERG STN,
MXB3,92,KOEBERG STN,ROCKLANDS,
MXH4,92,MAITLAND,TAFELSIG,
BPA0;BPA6,93,EPPING IND,HANOVER PARK,
MIA4;MIB5;MIH4;MIH6,93,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,93,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,93,BEACON VALLEY,TOWN CENTRE,
