LONGITUD_1,Latitude,StationNAm,OID_,Rank,Name,LATITUDE_1,PLACENAM_3,Station__1,StationOwn,Total,StationID,RegionID,OBJECTID,ENTITY_1,SubRegion,StationI_1,REMARKS_1,Station,STATIONCAT,Longitude,PLACENAM_2,Address
18.5617971,-33.96967800013085,HEIDEVELD,94,23,HEIDEVELD,-33.96967764,HEIDEVELD,HED,PRASA STATION,6252144.6,HED,WC,21,PRASA,Western Cape,HED, ,HEIDEVELD,Core,18.561797000332326,HEIDEVELD,"Heideveld, Jonkershoek Road, Cape Town Ward 44, City of Cape Town, Western Cape, 7764, South Africa"
18.6206837,-34.067222000105524,KAPTEINSKLIP,134,142,KAPTEINSKLIP,-34.06722222,KAPTEINSKLIP,KTE,PRASA STATION,4861634,KTE,WC,23,PRASA,Western Cape,KTE, ,KAPTEINSKLIP,Intermediate,18.62068399986858,KAPTEINSKLIP,"Kapteinsklip, Yellowwood Road, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7456, South Africa"
18.47300029,-33.99528499973624,KENILWORTH,125,186,KENILWORTH,-33.99528536,KENILWORTH,KLW,PRASA STATION,4665231.6,KLW,WC,24,PRASA,Western Cape,KLW, ,KENILWORTH,Small,18.472999999380065,KENILWORTH,"Kenilworth, Thomas Road, Cape Town Ward 59, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
18.6707722,-34.04798500031613,KHAYELITSHA,138,11,KHAYELITSHA,-34.04798483,KHAYELITSHA,KYA,PRASA STATION,4654387.5,KYA,WC,25,PRASA,Western Cape,KYA, ,KHAYELITSHA,Supercore,18.670771999486533,KHAYELITSHA,"Khayelitsha, Nomzamo Mongolo Street, Ekuphumuleni, Cape Town Ward 94, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
18.72383862,-33.84717800017298,KRAAIFONTEIN,115,17,KRAAIFONTEIN,-33.84717825,KRAAIFONTEIN,KAI,TRANSNET STATION BUT USED ONLY BY METRORAIL,4281228.3,KAI,WC,27,PRASA,Western Cape,KAI, ,KRAAIFONTEIN,Core,18.723839000348914,KRAAIFONTEIN,"Kraaifontein, Wapnick Street, Peerless Park, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7569, South Africa"
18.4624886,-34.08848399947644,LAKESIDE,148,265,LAKESIDE,-34.08848363,LAKESIDE,LSD,PRASA STATION,4066143.2,LSD,WC,28,PRASA,Western Cape,LSD, ,LAKESIDE,Small,18.462488999193678,LAKESIDE,"Lakeside, Orient Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
18.52965967,-33.939199999352184,LANGA,139,33,LANGA,-33.93920007,LANGA,LAG,PRASA STATION,4056672.6,LAG,WC,29,PRASA,Western Cape,LAG, ,LANGA,Core,18.52965999954803,LANGA,"Langa, Sandile Road, Langa, Cape Town Ward 51, Cape Town, City of Cape Town, Western Cape, 7455, South Africa"
18.50394035,-33.98759400034399,LANSDOWNE,145,131,LANSDOWNE,-33.98759365,LANSDOWNE,LNE,PRASA STATION,3919757.6,LNE,WC,30,PRASA,Western Cape,LNE, ,LANSDOWNE,Intermediate,18.503940000534392,LANSDOWNE,"Lansdowne, Clive Road, Lansdowne, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
18.58419823,-33.943276999560446,LAVISTOWN,149,167,LAVISTOWN,-33.9432769,LAVISTOWN,LSN,PRASA STATION,3838290.2,LSN,WC,31,PRASA,Western Cape,LSN, ,LAVISTOWN,Intermediate,18.584198000485856,LAVISTOWN,"Lavistown, 10th Street, Bishop Lavis, Cape Town Ward 24, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
18.61137293,-34.0344370003628,LENTEGEUR,142,83,LENTEGEUR,-34.03443679,LENTEGEUR,LEN,PRASA STATION,3764197.3,LEN,WC,32,PRASA,Western Cape,LEN, ,LENTEGEUR,Core,18.611372999674522,LENTEGEUR,"Lentegeur, Crocus Street, Lentegeur, Cape Town Ward 76, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
