route_number,day_type,Johan Heyns North,Charles Matthews,Neil Hare,John Van Niekerk,Tom Henshilwood,Charles Duminy,Starke,Berzelia,Bottlebrush,Marigold,Disa,Alberto,Bengal,Colebrook,Gothenburg,Avondale,Parkview,Nicobar,Atlantis Station
232,Saturdays,12:01,12:02,12:04,12:05,12:06,12:07,12:08,12:10,12:11,12:12,12:13,12:14,12:16,12:17,12:18,12:19,12:20,12:21,12:23
232,Saturdays,13:01,13:02,13:04,13:05,13:06,13:07,13:08,13:10,13:11,13:12,13:13,13:14,13:16,13:17,13:18,13:19,13:20,13:21,13:23
232,Saturdays,14:01,14:02,14:04,14:05,14:06,14:07,14:08,14:10,14:11,14:12,14:13,14:14,14:16,14:17,14:18,14:19,14:20,14:21,14:23
232,Saturdays,15:01,15:02,15:04,15:05,15:06,15:07,15:08,15:10,15:11,15:12,15:13,15:14,15:16,15:17,15:18,15:19,15:20,15:21,15:23
232,Saturdays,16:01,16:02,16:04,16:05,16:06,16:07,16:08,16:10,16:11,16:12,16:13,16:14,16:16,16:17,16:18,16:19,16:20,16:21,16:23
232,Saturdays,17:01,17:02,17:04,17:05,17:06,17:07,17:08,17:10,17:11,17:12,17:13,17:14,17:16,17:17,17:18,17:19,17:20,17:21,17:23
232,Saturdays,18:01,18:02,18:04,18:05,18:06,18:07,18:08,18:10,18:11,18:12,18:13,18:14,18:16,18:17,18:18,18:19,18:20,18:21,18:23
232,Saturdays,19:01,19:02,19:04,19:05,19:06,19:07,19:08,19:10,19:11,19:12,19:13,19:14,19:16,19:17,19:18,19:19,19:20,19:21,19:23
232,Saturdays,20:01,20:02,20:04,20:05,20:06,20:07,20:08,20:10,20:11,20:12,20:13,20:14,20:16,20:17,20:18,20:19,20:20,20:21,20:23
232,Sundays and Public Holidays,04:51,04:52,04:54,04:55,04:56,04:57,04:58,05:00,05:01,05:02,05:03,05:04,05:06,05:07,05:08,05:09,05:10,05:11,05:13
232,Sundays and Public Holidays,05:11,05:12,05:14,05:15,05:16,05:17,05:18,05:20,05:21,05:22,05:23,05:24,05:26,05:27,05:28,05:29,05:30,05:31,05:33
232,Sundays and Public Holidays,05:51,05:52,05:54,05:55,05:56,05:57,05:58,06:00,06:01,06:02,06:03,06:04,06:06,06:07,06:08,06:09,06:10,06:11,06:13
232,Sundays and Public Holidays,06:11,06:12,06:14,06:15,06:16,06:17,06:18,06:20,06:21,06:22,06:23,06:24,06:26,06:27,06:28,06:29,06:30,06:31,06:33
232,Sundays and Public Holidays,06:51,06:52,06:54,06:55,06:56,06:57,06:58,07:00,07:01,07:02,07:03,07:04,07:06,07:07,07:08,07:09,07:10,07:11,07:13
232,Sundays and Public Holidays,07:11,07:12,07:14,07:15,07:16,07:17,07:18,07:20,07:21,07:22,07:23,07:24,07:26,07:27,07:28,07:29,07:30,07:31,07:33
232,Sundays and Public Holidays,07:51,07:52,07:54,07:55,07:56,07:57,07:58,08:00,08:01,08:02,08:03,08:04,08:06,08:07,08:08,08:09,08:10,08:11,08:13
232,Sundays and Public Holidays,08:11,08:12,08:14,08:15,08:16,08:17,08:18,08:20,08:21,08:22,08:23,08:24,08:26,08:27,08:28,08:29,08:30,08:31,08:33
232,Sundays and Public Holidays,08:51,08:52,08:54,08:55,08:56,08:57,08:58,09:00,09:01,09:02,09:03,09:04,09:06,09:07,09:08,09:09,09:10,09:11,09:13
232,Sundays and Public Holidays,09:11,09:12,09:14,09:15,09:16,09:17,09:18,09:20,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:29,09:30,09:31,09:33
232,Sundays and Public Holidays,10:01,10:02,10:04,10:05,10:06,10:07,10:08,10:10,10:11,10:12,10:13,10:14,10:16,10:17,10:18,10:19,10:20,10:21,10:23
232,Sundays and Public Holidays,11:01,11:02,11:04,11:05,11:06,11:07,11:08,11:10,11:11,11:12,11:13,11:14,11:16,11:17,11:18,11:19,11:20,11:21,11:23
232,Sundays and Public Holidays,12:01,12:02,12:04,12:05,12:06,12:07,12:08,12:10,12:11,12:12,12:13,12:14,12:16,12:17,12:18,12:19,12:20,12:21,12:23
232,Sundays and Public Holidays,13:01,13:02,13:04,13:05,13:06,13:07,13:08,13:10,13:11,13:12,13:13,13:14,13:16,13:17,13:18,13:19,13:20,13:21,13:23
232,Sundays and Public Holidays,14:01,14:02,14:04,14:05,14:06,14:07,14:08,14:10,14:11,14:12,14:13,14:14,14:16,14:17,14:18,14:19,14:20,14:21,14:23
232,Sundays and Public Holidays,15:01,15:02,15:04,15:05,15:06,15:07,15:08,15:10,15:11,15:12,15:13,15:14,15:16,15:17,15:18,15:19,15:20,15:21,15:23
232,Sundays and Public Holidays,16:01,16:02,16:04,16:05,16:06,16:07,16:08,16:10,16:11,16:12,16:13,16:14,16:16,16:17,16:18,16:19,16:20,16:21,16:23
232,Sundays and Public Holidays,17:01,17:02,17:04,17:05,17:06,17:07,17:08,17:10,17:11,17:12,17:13,17:14,17:16,17:17,17:18,17:19,17:20,17:21,17:23
232,Sundays and Public Holidays,18:01,18:02,18:04,18:05,18:06,18:07,18:08,18:10,18:11,18:12,18:13,18:14,18:16,18:17,18:18,18:19,18:20,18:21,18:23
232,Sundays and Public Holidays,19:01,19:02,19:04,19:05,19:06,19:07,19:08,19:10,19:11,19:12,19:13,19:14,19:16,19:17,19:18,19:19,19:20,19:21,19:23
232,Sundays and Public Holidays,20:01,20:02,20:04,20:05,20:06,20:07,20:08,20:10,20:11,20:12,20:13,20:14,20:16,20:17,20:18,20:19,20:20,20:21,20:23
