route_number,day_type,Atlantis Station,Arion,Charel Uys North,Montreal,Tsitsikamma,Atlantis Cemetery,Pella South,Pella Central,Pella North
235,Sundays and Public Holidays,10:43,10:45,10:46,10:47,10:48,10:49,10:52,10:53,10:54
235,Sundays and Public Holidays,11:13,11:15,11:16,11:17,11:18,11:19,11:22,11:23,11:24
235,Sundays and Public Holidays,11:43,11:45,11:46,11:47,11:48,11:49,11:52,11:53,11:54
235,Sundays and Public Holidays,12:13,12:15,12:16,12:17,12:18,12:19,12:22,12:23,12:24
235,Sundays and Public Holidays,12:43,12:45,12:46,12:47,12:48,12:49,12:52,12:53,12:54
235,Sundays and Public Holidays,13:13,13:15,13:16,13:17,13:18,13:19,13:22,13:23,13:24
235,Sundays and Public Holidays,13:43,13:45,13:46,13:47,13:48,13:49,13:52,13:53,13:54
235,Sundays and Public Holidays,14:13,14:15,14:16,14:17,14:18,14:19,14:22,14:23,14:24
235,Sundays and Public Holidays,14:43,14:45,14:46,14:47,14:48,14:49,14:52,14:53,14:54
235,Sundays and Public Holidays,15:13,15:15,15:16,15:17,15:18,15:19,15:22,15:23,15:24
235,Sundays and Public Holidays,15:43,15:45,15:46,15:47,15:48,15:49,15:52,15:53,15:54
235,Sundays and Public Holidays,16:13,16:15,16:16,16:17,16:18,16:19,16:22,16:23,16:24
235,Sundays and Public Holidays,16:43,16:45,16:46,16:47,16:48,16:49,16:52,16:53,16:54
235,Sundays and Public Holidays,17:13,17:15,17:16,17:17,17:18,17:19,17:22,17:23,17:24
235,Sundays and Public Holidays,17:43,17:45,17:46,17:47,17:48,17:49,17:52,17:53,17:54
235,Sundays and Public Holidays,18:13,18:15,18:16,18:17,18:18,18:19,18:22,18:23,18:24
235,Sundays and Public Holidays,18:43,18:45,18:46,18:47,18:48,18:49,18:52,18:53,18:54
235,Sundays and Public Holidays,19:13,19:15,19:16,19:17,19:18,19:19,19:22,19:23,19:24
235,Sundays and Public Holidays,19:43,19:45,19:46,19:47,19:48,19:49,19:52,19:53,19:54
235,Sundays and Public Holidays,20:13,20:15,20:16,20:17,20:18,20:19,20:22,20:23,20:24
235,Sundays and Public Holidays,20:43,20:45,20:46,20:47,20:48,20:49,20:52,20:53,20:54
