route_number,day_type,Victoria,Sailors Green,Soldier,Emerald,Century Gate,Estuaries,Studio,Waterstone,Central Park,Oasis,Century City,Sanddrift,Democracy South,Corsair,Quest,Loxton East,Loxton West,Milnerton Lighthouse
262,Saturdays,16:24,16:25,16:26,16:27,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:42,16:44
262,Saturdays,17:12,17:13,17:14,17:15,17:18,17:19,17:20,17:21,17:22,17:23,17:24,17:25,17:26,17:27,17:28,17:29,17:30,17:32
262,Saturdays,18:00,18:01,18:02,18:03,18:06,18:07,18:08,18:09,18:10,18:11,18:12,18:13,18:14,18:15,18:16,18:17,18:18,18:20
262,Saturdays,18:48,18:49,18:50,18:51,18:54,18:55,18:56,18:57,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:08
262,Saturdays,19:36,19:37,19:38,19:39,19:42,19:43,19:44,19:45,19:46,19:47,19:48,19:49,19:50,19:51,19:52,19:53,19:54,19:56
262,Sundays and Public Holidays,06:00,06:01,06:02,06:03,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:20
262,Sundays and Public Holidays,06:48,06:49,06:50,06:51,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:08
262,Sundays and Public Holidays,07:36,07:37,07:38,07:39,07:42,07:43,07:44,07:45,07:46,07:47,07:48,07:49,07:50,07:51,07:52,07:53,07:54,07:56
262,Sundays and Public Holidays,08:24,08:25,08:26,08:27,08:30,08:31,08:32,08:33,08:34,08:35,08:36,08:37,08:38,08:39,08:40,08:41,08:42,08:44
262,Sundays and Public Holidays,09:12,09:13,09:14,09:15,09:18,09:19,09:20,09:21,09:22,09:23,09:24,09:25,09:26,09:27,09:28,09:29,09:30,09:32
262,Sundays and Public Holidays,10:00,10:01,10:02,10:03,10:06,10:07,10:08,10:09,10:10,10:11,10:12,10:13,10:14,10:15,10:16,10:17,10:18,10:20
262,Sundays and Public Holidays,10:48,10:49,10:50,10:51,10:54,10:55,10:56,10:57,10:58,10:59,11:00,11:01,11:02,11:03,11:04,11:05,11:06,11:08
262,Sundays and Public Holidays,11:36,11:37,11:38,11:39,11:42,11:43,11:44,11:45,11:46,11:47,11:48,11:49,11:50,11:51,11:52,11:53,11:54,11:56
262,Sundays and Public Holidays,12:24,12:25,12:26,12:27,12:30,12:31,12:32,12:33,12:34,12:35,12:36,12:37,12:38,12:39,12:40,12:41,12:42,12:44
262,Sundays and Public Holidays,13:12,13:13,13:14,13:15,13:18,13:19,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:30,13:32
262,Sundays and Public Holidays,14:00,14:01,14:02,14:03,14:06,14:07,14:08,14:09,14:10,14:11,14:12,14:13,14:14,14:15,14:16,14:17,14:18,14:20
262,Sundays and Public Holidays,14:48,14:49,14:50,14:51,14:54,14:55,14:56,14:57,14:58,14:59,15:00,15:01,15:02,15:03,15:04,15:05,15:06,15:08
262,Sundays and Public Holidays,15:36,15:37,15:38,15:39,15:42,15:43,15:44,15:45,15:46,15:47,15:48,15:49,15:50,15:51,15:52,15:53,15:54,15:56
262,Sundays and Public Holidays,16:24,16:25,16:26,16:27,16:30,16:31,16:32,16:33,16:34,16:35,16:36,16:37,16:38,16:39,16:40,16:41,16:42,16:44
262,Sundays and Public Holidays,17:12,17:13,17:14,17:15,17:18,17:19,17:20,17:21,17:22,17:23,17:24,17:25,17:26,17:27,17:28,17:29,17:30,17:32
262,Sundays and Public Holidays,18:00,18:01,18:02,18:03,18:06,18:07,18:08,18:09,18:10,18:11,18:12,18:13,18:14,18:15,18:16,18:17,18:18,18:20
262,Sundays and Public Holidays,18:48,18:49,18:50,18:51,18:54,18:55,18:56,18:57,18:58,18:59,19:00,19:01,19:02,19:03,19:04,19:05,19:06,19:08
262,Sundays and Public Holidays,19:36,19:37,19:38,19:39,19:42,19:43,19:44,19:45,19:46,19:47,19:48,19:49,19:50,19:51,19:52,19:53,19:54,19:56
