route_number,day_type,Atlantis Station,Brutus,Sherwood,Clearwater,Montezuma
236,Sundays and Public Holidays,06:39,06:42,06:43,06:44,06:45
236,Sundays and Public Holidays,07:03,07:06,07:07,07:08,07:09
236,Sundays and Public Holidays,07:27,07:30,07:31,07:32,07:33
236,Sundays and Public Holidays,07:51,07:54,07:55,07:56,07:57
236,Sundays and Public Holidays,08:15,08:18,08:19,08:20,08:21
236,Sundays and Public Holidays,08:39,08:42,08:43,08:44,08:45
236,Sundays and Public Holidays,09:03,09:06,09:07,09:08,09:09
236,Sundays and Public Holidays,09:27,09:30,09:31,09:32,09:33
236,Sundays and Public Holidays,09:51,09:54,09:55,09:56,09:57
236,Sundays and Public Holidays,10:15,10:18,10:19,10:20,10:21
236,Sundays and Public Holidays,10:39,10:42,10:43,10:44,10:45
236,Sundays and Public Holidays,11:03,11:06,11:07,11:08,11:09
236,Sundays and Public Holidays,11:27,11:30,11:31,11:32,11:33
236,Sundays and Public Holidays,11:51,11:54,11:55,11:56,11:57
236,Sundays and Public Holidays,12:15,12:18,12:19,12:20,12:21
236,Sundays and Public Holidays,12:39,12:42,12:43,12:44,12:45
236,Sundays and Public Holidays,13:03,13:06,13:07,13:08,13:09
236,Sundays and Public Holidays,13:27,13:30,13:31,13:32,13:33
236,Sundays and Public Holidays,13:51,13:54,13:55,13:56,13:57
236,Sundays and Public Holidays,14:15,14:18,14:19,14:20,14:21
236,Sundays and Public Holidays,14:39,14:42,14:43,14:44,14:45
236,Sundays and Public Holidays,15:03,15:06,15:07,15:08,15:09
236,Sundays and Public Holidays,15:27,15:30,15:31,15:32,15:33
236,Sundays and Public Holidays,15:51,15:54,15:55,15:56,15:57
236,Sundays and Public Holidays,16:15,16:18,16:19,16:20,16:21
236,Sundays and Public Holidays,16:39,16:42,16:43,16:44,16:45
236,Sundays and Public Holidays,17:03,17:06,17:07,17:08,17:09
236,Sundays and Public Holidays,17:27,17:30,17:31,17:32,17:33
236,Sundays and Public Holidays,17:51,17:54,17:55,17:56,17:57
236,Sundays and Public Holidays,18:15,18:18,18:19,18:20,18:21
236,Sundays and Public Holidays,18:39,18:42,18:43,18:44,18:45
236,Sundays and Public Holidays,19:03,19:06,19:07,19:08,19:09
236,Sundays and Public Holidays,19:27,19:30,19:31,19:32,19:33
236,Sundays and Public Holidays,19:51,19:54,19:55,19:56,19:57
236,Sundays and Public Holidays,20:15,20:18,20:19,20:20,20:21
236,Sundays and Public Holidays,20:39,20:42,20:43,20:44,20:45
236,Sundays and Public Holidays,21:03,21:06,21:07,21:08,21:09
