route_number,day_type,Kuyasa,Lindela,Dibana,Tutu,D Nyembe,Steve Biko,Charles Mokoena,Vuyani,Civic Centre
D01,Saturdays,18:02,18:04,18:06,18:08,18:10,18:12,18:14,18:16,19:02
D01,Saturdays,18:39,18:41,18:43,18:45,18:47,18:49,18:51,18:53,19:39
D01,Saturdays,19:16,19:18,19:20,19:22,19:24,19:26,19:28,19:30,20:16
D01,Saturdays,19:53,19:55,19:57,19:59,20:01,20:03,20:05,20:07,20:53
D01,Saturdays,20:30,20:32,20:34,20:36,20:38,20:40,20:42,20:44,21:30
D01,Saturdays,21:07,21:09,21:11,21:13,21:15,21:17,21:19,21:21,22:07
D01,Sundays and Public Holidays,05:05,05:07,05:09,05:11,05:13,05:15,05:17,05:19,06:05
D01,Sundays and Public Holidays,05:42,05:44,05:46,05:48,05:50,05:52,05:54,05:56,06:42
D01,Sundays and Public Holidays,06:19,06:21,06:23,06:25,06:27,06:29,06:31,06:33,07:19
D01,Sundays and Public Holidays,06:56,06:58,07:00,07:02,07:04,07:06,07:08,07:10,07:56
D01,Sundays and Public Holidays,07:33,07:35,07:37,07:39,07:41,07:43,07:45,07:47,08:33
D01,Sundays and Public Holidays,08:10,08:12,08:14,08:16,08:18,08:20,08:22,08:24,09:10
D01,Sundays and Public Holidays,08:47,08:49,08:51,08:53,08:55,08:57,08:59,09:01,09:47
D01,Sundays and Public Holidays,09:24,09:26,09:28,09:30,09:32,09:34,09:36,09:38,10:24
D01,Sundays and Public Holidays,10:01,10:03,10:05,10:07,10:09,10:11,10:13,10:15,11:01
D01,Sundays and Public Holidays,10:38,10:40,10:42,10:44,10:46,10:48,10:50,10:52,11:38
D01,Sundays and Public Holidays,11:15,11:17,11:19,11:21,11:23,11:25,11:27,11:29,12:15
D01,Sundays and Public Holidays,11:52,11:54,11:56,11:58,12:00,12:02,12:04,12:06,12:52
D01,Sundays and Public Holidays,12:29,12:31,12:33,12:35,12:37,12:39,12:41,12:43,13:29
D01,Sundays and Public Holidays,13:06,13:08,13:10,13:12,13:14,13:16,13:18,13:20,14:06
D01,Sundays and Public Holidays,13:43,13:45,13:47,13:49,13:51,13:53,13:55,13:57,14:43
D01,Sundays and Public Holidays,14:20,14:22,14:24,14:26,14:28,14:30,14:32,14:34,15:20
D01,Sundays and Public Holidays,14:57,14:59,15:01,15:03,15:05,15:07,15:09,15:11,15:57
D01,Sundays and Public Holidays,15:34,15:36,15:38,15:40,15:42,15:44,15:46,15:48,16:34
D01,Sundays and Public Holidays,16:11,16:13,16:15,16:17,16:19,16:21,16:23,16:25,17:11
D01,Sundays and Public Holidays,16:48,16:50,16:52,16:54,16:56,16:58,17:00,17:02,17:48
D01,Sundays and Public Holidays,17:25,17:27,17:29,17:31,17:33,17:35,17:37,17:39,18:25
D01,Sundays and Public Holidays,18:02,18:04,18:06,18:08,18:10,18:12,18:14,18:16,19:02
D01,Sundays and Public Holidays,18:39,18:41,18:43,18:45,18:47,18:49,18:51,18:53,19:39
D01,Sundays and Public Holidays,19:16,19:18,19:20,19:22,19:24,19:26,19:28,19:30,20:16
D01,Sundays and Public Holidays,19:53,19:55,19:57,19:59,20:01,20:03,20:05,20:07,20:53
D01,Sundays and Public Holidays,20:30,20:32,20:34,20:36,20:38,20:40,20:42,20:44,21:30
D01,Sundays and Public Holidays,21:07,21:09,21:11,21:13,21:15,21:17,21:19,21:21,22:07
