route_number,day_type,Kapteinsklip,Dolomites West,Snowdon,Dolomites East,Paulsberg,Ruwenzori,Langeberg,Tafelsig Primary,Spine,Bontebok,Figaro,Imperial,Mitchells Plain,Pontiac,Kerrem,Morgenster,Marguerite,Highlands,Sesame,Civic Centre
D04,Saturdays,08:50,08:51,08:51,08:52,08:53,08:54,08:54,08:55,08:57,08:59,09:00,09:01,09:05,09:07,09:09,09:11,09:12,09:14,09:15,09:43
D04,Saturdays,09:32,09:33,09:33,09:34,09:35,09:36,09:36,09:37,09:39,09:41,09:42,09:43,09:47,09:49,09:51,09:53,09:54,09:56,09:57,10:25
D04,Saturdays,10:14,10:15,10:15,10:16,10:17,10:18,10:18,10:19,10:21,10:23,10:24,10:25,10:29,10:31,10:33,10:35,10:36,10:38,10:39,11:07
D04,Saturdays,10:56,10:57,10:57,10:58,10:59,11:00,11:00,11:01,11:03,11:05,11:06,11:07,11:11,11:13,11:15,11:17,11:18,11:20,11:21,11:49
D04,Saturdays,11:38,11:39,11:39,11:40,11:41,11:42,11:42,11:43,11:45,11:47,11:48,11:49,11:53,11:55,11:57,11:59,12:00,12:02,12:03,12:31
D04,Saturdays,12:20,12:21,12:21,12:22,12:23,12:24,12:24,12:25,12:27,12:29,12:30,12:31,12:35,12:37,12:39,12:41,12:42,12:44,12:45,13:13
D04,Saturdays,13:02,13:03,13:03,13:04,13:05,13:06,13:06,13:07,13:09,13:11,13:12,13:13,13:17,13:19,13:21,13:23,13:24,13:26,13:27,13:55
D04,Saturdays,13:44,13:45,13:45,13:46,13:47,13:48,13:48,13:49,13:51,13:53,13:54,13:55,13:59,14:01,14:03,14:05,14:06,14:08,14:09,14:37
D04,Saturdays,14:26,14:27,14:27,14:28,14:29,14:30,14:30,14:31,14:33,14:35,14:36,14:37,14:41,14:43,14:45,14:47,14:48,14:50,14:51,15:19
D04,Saturdays,15:08,15:09,15:09,15:10,15:11,15:12,15:12,15:13,15:15,15:17,15:18,15:19,15:23,15:25,15:27,15:29,15:30,15:32,15:33,16:01
D04,Saturdays,15:50,15:51,15:51,15:52,15:53,15:54,15:54,15:55,15:57,15:59,16:00,16:01,16:05,16:07,16:09,16:11,16:12,16:14,16:15,16:43
D04,Saturdays,16:32,16:33,16:33,16:34,16:35,16:36,16:36,16:37,16:39,16:41,16:42,16:43,16:47,16:49,16:51,16:53,16:54,16:56,16:57,17:25
D04,Saturdays,17:14,17:15,17:15,17:16,17:17,17:18,17:18,17:19,17:21,17:23,17:24,17:25,17:29,17:31,17:33,17:35,17:36,17:38,17:39,18:07
D04,Saturdays,17:56,17:57,17:57,17:58,17:59,18:00,18:00,18:01,18:03,18:05,18:06,18:07,18:11,18:13,18:15,18:17,18:18,18:20,18:21,18:49
D04,Saturdays,18:38,18:39,18:39,18:40,18:41,18:42,18:42,18:43,18:45,18:47,18:48,18:49,18:53,18:55,18:57,18:59,19:00,19:02,19:03,19:31
D04,Saturdays,19:20,19:21,19:21,19:22,19:23,19:24,19:24,19:25,19:27,19:29,19:30,19:31,19:35,19:37,19:39,19:41,19:42,19:44,19:45,20:13
D04,Saturdays,20:02,20:03,20:03,20:04,20:05,20:06,20:06,20:07,20:09,20:11,20:12,20:13,20:17,20:19,20:21,20:23,20:24,20:26,20:27,20:55
D04,Saturdays,20:44,20:45,20:45,20:46,20:47,20:48,20:48,20:49,20:51,20:53,20:54,20:55,20:59,21:01,21:03,21:05,21:06,21:08,21:09,21:37
D04,Saturdays,21:26,21:27,21:27,21:28,21:29,21:30,21:30,21:31,21:33,21:35,21:36,21:37,21:41,21:43,21:45,21:47,21:48,21:50,21:51,22:19
D04,Sundays and Public Holidays,04:40,04:41,04:41,04:42,04:43,04:44,04:44,04:45,04:47,04:49,04:50,04:51,04:55,04:57,04:59,05:01,05:02,05:04,05:05,05:33
D04,Sundays and Public Holidays,05:20,05:21,05:21,05:22,05:23,05:24,05:24,05:25,05:27,05:29,05:30,05:31,05:35,05:37,05:39,05:41,05:42,05:44,05:45,06:13
D04,Sundays and Public Holidays,06:02,06:03,06:03,06:04,06:05,06:06,06:06,06:07,06:09,06:11,06:12,06:13,06:17,06:19,06:21,06:23,06:24,06:26,06:27,06:55
D04,Sundays and Public Holidays,06:44,06:45,06:45,06:46,06:47,06:48,06:48,06:49,06:51,06:53,06:54,06:55,06:59,07:01,07:03,07:05,07:06,07:08,07:09,07:37
D04,Sundays and Public Holidays,07:26,07:27,07:27,07:28,07:29,07:30,07:30,07:31,07:33,07:35,07:36,07:37,07:41,07:43,07:45,07:47,07:48,07:50,07:51,08:19
D04,Sundays and Public Holidays,08:08,08:09,08:09,08:10,08:11,08:12,08:12,08:13,08:15,08:17,08:18,08:19,08:23,08:25,08:27,08:29,08:30,08:32,08:33,09:01
D04,Sundays and Public Holidays,08:50,08:51,08:51,08:52,08:53,08:54,08:54,08:55,08:57,08:59,09:00,09:01,09:05,09:07,09:09,09:11,09:12,09:14,09:15,09:43
D04,Sundays and Public Holidays,09:32,09:33,09:33,09:34,09:35,09:36,09:36,09:37,09:39,09:41,09:42,09:43,09:47,09:49,09:51,09:53,09:54,09:56,09:57,10:25
D04,Sundays and Public Holidays,10:14,10:15,10:15,10:16,10:17,10:18,10:18,10:19,10:21,10:23,10:24,10:25,10:29,10:31,10:33,10:35,10:36,10:38,10:39,11:07
D04,Sundays and Public Holidays,10:56,10:57,10:57,10:58,10:59,11:00,11:00,11:01,11:03,11:05,11:06,11:07,11:11,11:13,11:15,11:17,11:18,11:20,11:21,11:49
D04,Sundays and Public Holidays,11:38,11:39,11:39,11:40,11:41,11:42,11:42,11:43,11:45,11:47,11:48,11:49,11:53,11:55,11:57,11:59,12:00,12:02,12:03,12:31
D04,Sundays and Public Holidays,12:20,12:21,12:21,12:22,12:23,12:24,12:24,12:25,12:27,12:29,12:30,12:31,12:35,12:37,12:39,12:41,12:42,12:44,12:45,13:13
D04,Sundays and Public Holidays,13:02,13:03,13:03,13:04,13:05,13:06,13:06,13:07,13:09,13:11,13:12,13:13,13:17,13:19,13:21,13:23,13:24,13:26,13:27,13:55
D04,Sundays and Public Holidays,13:44,13:45,13:45,13:46,13:47,13:48,13:48,13:49,13:51,13:53,13:54,13:55,13:59,14:01,14:03,14:05,14:06,14:08,14:09,14:37
D04,Sundays and Public Holidays,14:26,14:27,14:27,14:28,14:29,14:30,14:30,14:31,14:33,14:35,14:36,14:37,14:41,14:43,14:45,14:47,14:48,14:50,14:51,15:19
D04,Sundays and Public Holidays,15:08,15:09,15:09,15:10,15:11,15:12,15:12,15:13,15:15,15:17,15:18,15:19,15:23,15:25,15:27,15:29,15:30,15:32,15:33,16:01
D04,Sundays and Public Holidays,15:50,15:51,15:51,15:52,15:53,15:54,15:54,15:55,15:57,15:59,16:00,16:01,16:05,16:07,16:09,16:11,16:12,16:14,16:15,16:43
D04,Sundays and Public Holidays,16:32,16:33,16:33,16:34,16:35,16:36,16:36,16:37,16:39,16:41,16:42,16:43,16:47,16:49,16:51,16:53,16:54,16:56,16:57,17:25
D04,Sundays and Public Holidays,17:14,17:15,17:15,17:16,17:17,17:18,17:18,17:19,17:21,17:23,17:24,17:25,17:29,17:31,17:33,17:35,17:36,17:38,17:39,18:07
D04,Sundays and Public Holidays,17:56,17:57,17:57,17:58,17:59,18:00,18:00,18:01,18:03,18:05,18:06,18:07,18:11,18:13,18:15,18:17,18:18,18:20,18:21,18:49
D04,Sundays and Public Holidays,18:38,18:39,18:39,18:40,18:41,18:42,18:42,18:43,18:45,18:47,18:48,18:49,18:53,18:55,18:57,18:59,19:00,19:02,19:03,19:31
D04,Sundays and Public Holidays,19:20,19:21,19:21,19:22,19:23,19:24,19:24,19:25,19:27,19:29,19:30,19:31,19:35,19:37,19:39,19:41,19:42,19:44,19:45,20:13
D04,Sundays and Public Holidays,20:02,20:03,20:03,20:04,20:05,20:06,20:06,20:07,20:09,20:11,20:12,20:13,20:17,20:19,20:21,20:23,20:24,20:26,20:27,20:55
D04,Sundays and Public Holidays,20:44,20:45,20:45,20:46,20:47,20:48,20:48,20:49,20:51,20:53,20:54,20:55,20:59,21:01,21:03,21:05,21:06,21:08,21:09,21:37
D04,Sundays and Public Holidays,21:26,21:27,21:27,21:28,21:29,21:30,21:30,21:31,21:33,21:35,21:36,21:37,21:41,21:43,21:45,21:47,21:48,21:50,21:51,22:19
