route_number,day_type,Lisboa,Mauritius,Magnet,Kehrweider,Saxonsea Clinic,Goede Hoop,Hoogergeest,Valleyfield,Saxonsea Primary,Wesfleur Park,Atlantis Station
245,Saturdays,20:39,20:41,20:43,20:45,20:46,20:47,20:48,20:49,20:50,20:52,20:54
245,Saturdays,21:09,21:11,21:13,21:15,21:16,21:17,21:18,21:19,21:20,21:22,21:24
245,Sundays and Public Holidays,04:49,04:51,04:53,04:54,04:55,04:56,04:57,04:58,04:59,05:00,05:01
245,Sundays and Public Holidays,05:09,05:11,05:13,05:14,05:15,05:16,05:17,05:18,05:19,05:20,05:21
245,Sundays and Public Holidays,05:29,05:31,05:33,05:34,05:35,05:36,05:37,05:38,05:39,05:40,05:41
245,Sundays and Public Holidays,05:49,05:51,05:53,05:54,05:55,05:56,05:57,05:58,05:59,06:00,06:01
245,Sundays and Public Holidays,06:09,06:11,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21
245,Sundays and Public Holidays,06:29,06:31,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41
245,Sundays and Public Holidays,06:49,06:51,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01
245,Sundays and Public Holidays,07:09,07:11,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21
245,Sundays and Public Holidays,07:29,07:31,07:33,07:34,07:35,07:36,07:37,07:38,07:39,07:40,07:41
245,Sundays and Public Holidays,07:49,07:51,07:53,07:54,07:55,07:56,07:57,07:58,07:59,08:00,08:01
245,Sundays and Public Holidays,08:09,08:11,08:13,08:14,08:15,08:16,08:17,08:18,08:19,08:20,08:21
245,Sundays and Public Holidays,08:29,08:31,08:33,08:34,08:35,08:36,08:37,08:38,08:39,08:40,08:41
245,Sundays and Public Holidays,08:49,08:51,08:53,08:54,08:55,08:56,08:57,08:58,08:59,09:00,09:01
245,Sundays and Public Holidays,09:09,09:11,09:13,09:14,09:15,09:16,09:17,09:18,09:19,09:20,09:21
245,Sundays and Public Holidays,09:39,09:41,09:43,09:45,09:46,09:47,09:48,09:49,09:50,09:52,09:54
245,Sundays and Public Holidays,10:09,10:11,10:13,10:15,10:16,10:17,10:18,10:19,10:20,10:22,10:24
245,Sundays and Public Holidays,10:39,10:41,10:43,10:45,10:46,10:47,10:48,10:49,10:50,10:52,10:54
245,Sundays and Public Holidays,11:09,11:11,11:13,11:15,11:16,11:17,11:18,11:19,11:20,11:22,11:24
245,Sundays and Public Holidays,11:39,11:41,11:43,11:45,11:46,11:47,11:48,11:49,11:50,11:52,11:54
245,Sundays and Public Holidays,12:09,12:11,12:13,12:15,12:16,12:17,12:18,12:19,12:20,12:22,12:24
245,Sundays and Public Holidays,12:39,12:41,12:43,12:45,12:46,12:47,12:48,12:49,12:50,12:52,12:54
245,Sundays and Public Holidays,13:09,13:11,13:13,13:15,13:16,13:17,13:18,13:19,13:20,13:22,13:24
245,Sundays and Public Holidays,13:39,13:41,13:43,13:45,13:46,13:47,13:48,13:49,13:50,13:52,13:54
