trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,STIKLAND,BRACKENFELL,EIKENFONTEIN,KRAAIFONTEIN
2516,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S5,15:38,15:35,15:32,15:29,15:27,15:24,15:22,15:19,15:17,15:15,15:13,15:10,15:08,15:04,14:59,14:55,14:50,14:47
2503,MONDAYS TO FRIDAYS,outbound,S5,05:45,05:48,05:52,05:54,05:57,06:00,06:02,06:05,06:07,06:09,06:12,06:15,06:17,06:22,06:26,06:30,06:35,06:38
2507,MONDAYS TO FRIDAYS,outbound,S5,06:42,06:45,06:49,06:51,06:54,06:57,06:59,07:02,07:04,07:06,07:09,07:12,07:14,07:19,07:23,07:27,07:32,07:35
2509,MONDAYS TO FRIDAYS,outbound,S5,07:12,07:15,07:19,07:21,07:24,07:27,07:29,07:32,07:34,07:36,07:39,07:42,07:44,07:49,07:53,07:57,08:02,08:05
2511,MONDAYS TO FRIDAYS,outbound,S5,07:33,07:36,07:40,07:42,07:45,07:48,07:50,07:53,07:55,07:57,08:00,08:03,08:05,08:10,08:14,08:18,08:23,08:26
2513,MONDAYS TO FRIDAYS,outbound,S5,08:08,08:11,08:15,08:17,08:20,08:23,08:25,08:28,08:30,08:32,08:35,08:38,08:40,08:45,08:49,08:53,08:58,09:01
2561,MONDAYS TO FRIDAYS,outbound,S5,08:40,08:43,08:47,08:49,08:52,08:55,08:57,09:00,09:02,09:04,09:07,09:10,09:12,09:17,09:21,09:25,09:30,09:33
2525,MONDAYS TO FRIDAYS,outbound,S5,11:16,11:19,11:23,11:25,11:28,11:31,11:33,11:36,11:38,11:40,11:43,11:46,11:48,11:53,11:57,12:01,12:06,12:09
2527,MONDAYS TO FRIDAYS,outbound,S5,11:40,11:43,11:47,11:49,11:52,11:55,11:57,12:00,12:02,12:04,12:07,12:10,12:12,12:17,12:21,12:25,12:30,12:33
2563,MONDAYS TO FRIDAYS,outbound,S5,12:25,12:28,12:32,12:34,12:37,12:40,12:42,12:45,12:47,12:49,12:52,12:55,12:57,13:02,13:06,13:10,13:15,13:18
