trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,KENTEMADE,CENTURY CITY,AKASIA PARK,MONTE VISTA,DE GRENDEL,AVONDALE,OOSTERZEE,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER
2817,MONDAYS TO FRIDAYS,outbound,S6,09:08,09:11,09:17,09:21,09:24,09:27,09:30,09:34,09:36,09:39,09:41,,,,
2811,SATURDAYS,outbound,S6,09:12,09:15,09:21,09:25,09:28,09:31,09:34,09:38,09:40,09:43,09:45,,,,
2816,MONDAYS TO FRIDAYS,inbound,S6,10:23,10:18,10:13,10:10,10:08,10:05,10:02,09:58,09:56,09:53,09:50,,,,
2812,SATURDAYS,inbound,S6,10:34,10:28,10:23,10:20,10:18,10:15,10:12,10:08,10:06,10:03,10:00,,,,
2802,SUNDAYS,inbound,S6,10:30,10:28,10:23,10:20,10:18,10:15,10:12,10:08,10:06,10:03,10:00,,,,
2859,MONDAYS TO FRIDAYS,outbound,S6,09:35,09:38,09:44,09:48,09:51,09:54,09:57,10:01,10:03,10:06,10:08,,,,
2860,MONDAYS TO FRIDAYS,inbound,S6,10:53,10:48,10:43,10:40,10:38,10:35,10:32,10:28,10:26,10:23,10:20,,,,
2813,SATURDAYS,outbound,S6,10:07,10:10,10:16,10:20,10:23,10:26,10:29,10:33,10:35,10:38,10:40,,,,
2853,MONDAYS TO FRIDAYS,outbound,S6,10:10,10:13,10:19,10:23,10:26,10:29,10:32,10:36,10:38,10:41,10:44,,,,
2854,MONDAYS TO FRIDAYS,inbound,S6,11:24,11:19,11:14,11:11,11:09,11:06,11:03,10:59,10:57,10:54,10:51,,,,
2821,MONDAYS TO FRIDAYS,outbound,S6,10:30,10:33,10:39,10:43,10:46,10:49,10:52,10:56,10:58,11:01,11:03,,,,
2814,SATURDAYS,inbound,S6,11:39,11:33,11:28,11:25,11:23,11:20,11:17,11:13,11:11,11:08,11:05,,,,
2820,MONDAYS TO FRIDAYS,inbound,S6,11:46,11:41,11:36,11:33,11:31,11:28,11:25,11:21,11:19,11:16,11:13,,,,
2815,SATURDAYS,outbound,S6,10:57,11:00,11:06,11:10,11:13,11:16,11:19,11:23,11:25,11:28,11:30,,,,
2861,MONDAYS TO FRIDAYS,outbound,S6,11:00,11:03,11:09,11:13,11:16,11:19,11:22,11:26,11:28,11:31,11:33,,,,
